readcode,medcode,term,symptom_code
38Gs.00,106702,Tinetti balance and gait scale,Balance_difficulty
7P12100,57706,Balance assessment,Balance_difficulty
ZR1C.11,58091,ABS - Affect balance scale,Balance_difficulty
19A..00,6229,Abdominal distension symptom,Bloating
19A2.00,29567,Abdomen feels bloated,Bloating
19A3.00,2657,Abdomen feels distended,Bloating
19A4.00,36966,Abdomen feels swollen,Bloating
19AZ.00,41607,Abd. distension symptom NOS,Bloating
19B..12,5821,Bloating symptom,Bloating
R073400,5150,[D]Bloating,Bloating
R093.00,5838,"[D]Swelling, mass or lump within abdomen or pelvis",Bloating
R093000,4800,[D]Abdominal swelling,Bloating
R093z00,16370,"[D]Swelling, mass or lump within abdomen or pelvis NOS",Bloating
1DC8.00,10084,Generalised pain [symptom],Body_ache
R00z200,2522,"[D]Pain, generalized",Body_ache
R00z211,1497,[D]General aches and pains,Body_ache
16F0.00,109624,Functional urinary and faecal incontinence,Bowel_incontinence
19E2.00,29557,Soiling - encopresis,Bowel_incontinence
19E2.11,7874,Encopresis symptom,Bowel_incontinence
19E2000,110231,Functional encopresis,Bowel_incontinence
19E3.00,3381,Incontinent of faeces,Bowel_incontinence
19E3.11,6083,Incontinent of faeces symptom,Bowel_incontinence
19F3.00,21294,Spurious (overflow) diarrhoea,Bowel_incontinence
3930.00,13426,Bowels: incontinent,Bowel_incontinence
3931.00,13429,Bowels: occasional accident,Bowel_incontinence
E264311,10158,Spurious diarrhoea,Bowel_incontinence
E277.00,3788,Non-organic encopresis,Bowel_incontinence
E277z00,69256,Non-organic encopresis NOS,Bowel_incontinence
Eu9y100,6120,[X]Nonorganic encopresis,Bowel_incontinence
J520100,6364,Chronic constipation with overflow,Bowel_incontinence
R076.00,1437,[D]Incontinence of faeces,Bowel_incontinence
R076000,2134,[D]Encopresis NOS,Bowel_incontinence
R076z00,15555,[D]Incontinence of faeces NOS,Bowel_incontinence
151N.00,110660,Periods have not started,Changes_to_menstrual_period
151P.00,110802,Periods have stopped,Changes_to_menstrual_period
1571.00,16495,H/O: amenorrhoea,Changes_to_menstrual_period
1572.00,7089,H/O: polymenorrhoea,Changes_to_menstrual_period
K590.00,9632,Absence of menstruation,Changes_to_menstrual_period
K590.11,757,Amenorrhoea,Changes_to_menstrual_period
K590000,3829,Primary amenorrhoea,Changes_to_menstrual_period
K590100,2086,Secondary amenorrhoea,Changes_to_menstrual_period
K590111,12295,Post-pill amenorrhoea,Changes_to_menstrual_period
K590z00,33769,Amenorrhoea NOS,Changes_to_menstrual_period
K591.11,21729,Infrequent menstruation,Changes_to_menstrual_period
K591000,15438,Hypomenorrhoea,Changes_to_menstrual_period
K591100,1153,Oligomenorrhoea,Changes_to_menstrual_period
K591200,6486,Primary oligomenorrhoea,Changes_to_menstrual_period
K591300,12100,Secondary oligomenorrhoea,Changes_to_menstrual_period
K592.00,23935,Excessive or frequent menstruation,Changes_to_menstrual_period
K592.11,20674,Frequent menses,Changes_to_menstrual_period
K592100,1077,Polymenorrhoea,Changes_to_menstrual_period
K592111,5277,Epimenorrhoea,Changes_to_menstrual_period
K592z00,20190,Excessive or frequent menstruation NOS,Changes_to_menstrual_period
K594.00,1065,Irregular menstrual cycle,Changes_to_menstrual_period
K594z00,25355,Irregular menstrual cycle NOS,Changes_to_menstrual_period
Kyu9C00,52958,[X]Other specified irregular menstruation,Changes_to_menstrual_period
182..00,374,Chest pain,Chest_pain
1822.00,7346,Central chest pain,Chest_pain
1823.00,1865,Precordial pain,Chest_pain
1824.00,9698,Anterior chest wall pain,Chest_pain
1825.00,1059,Pleuritic pain,Chest_pain
1826.00,32612,Parasternal pain,Chest_pain
1827.00,20490,Painful breathing -pleurodynia,Chest_pain
1827.11,1283,Pleurodynia,Chest_pain
1828.00,726,Atypical chest pain,Chest_pain
1829.00,1228,Retrosternal pain,Chest_pain
182B.00,2519,Rib pain,Chest_pain
182B000,8349,Costal margin chest pain,Chest_pain
182C.00,24704,Chest wall pain,Chest_pain
182Z.00,10370,Chest pain NOS,Chest_pain
197..14,6357,Subcostal pain,Chest_pain
1973.00,23872,Left subcostal pain,Chest_pain
1974.00,24821,Right subcostal pain,Chest_pain
1D22000,24321,Chest wall tenderness,Chest_pain
A741.00,23322,Epidemic pleurodynia,Chest_pain
A741.11,3161,Bornholm disease,Chest_pain
A741.12,47459,Devil's grip,Chest_pain
G311.14,19655,Angina at rest,Chest_pain
G311200,17307,Angina at rest,Chest_pain
G330.00,20095,Angina decubitus,Chest_pain
G330z00,29902,Angina decubitus NOS,Chest_pain
G37..00,8568,Cardiac syndrome X,Chest_pain
H501200,44425,Pleural empyema,Chest_pain
H501300,38052,Lung empyema NOS,Chest_pain
H501400,49452,Purulent pleurisy,Chest_pain
H501600,59587,Pyothorax,Chest_pain
H51..00,978,Pleurisy,Chest_pain
H510.00,23482,Pleurisy without effusion or active tuberculosis,Chest_pain
H510000,15024,Adhesion of pleura or lung,Chest_pain
H510300,19207,Acute dry pleurisy,Chest_pain
H510400,40819,Diaphragmatic pleurisy,Chest_pain
H510500,37599,Basal pleurisy,Chest_pain
H510600,62895,Chronic dry pleurisy,Chest_pain
H510700,47354,Fibrinous pleurisy,Chest_pain
H510800,67452,Sterile pleurisy,Chest_pain
H510z00,31645,Pleurisy without effusion or active tuberculosis NOS,Chest_pain
H51y000,57092,Encysted pleurisy,Chest_pain
H51z000,60142,Exudative pleurisy NOS,Chest_pain
H51z100,68470,Serofibrinous pleurisy NOS,Chest_pain
H51z200,55211,Serous pleurisy NOS,Chest_pain
N241011,14969,Intercostal myalgia,Chest_pain
N30z811,6826,Costochondritis NOS,Chest_pain
N336.11,2451,Costochondral joint syndrome,Chest_pain
N33zE00,2222,Costochondritis,Chest_pain
N33zz11,52915,Costochondritis NOS,Chest_pain
R065.00,2584,[D]Chest pain,Chest_pain
R065000,544,"[D]Chest pain, unspecified",Chest_pain
R065011,29490,[D] Retrosternal chest pain,Chest_pain
R065100,20481,[D]Precordial pain,Chest_pain
R065200,14823,[D]Anterior chest wall pain,Chest_pain
R065300,14819,[D]Painful respiration NOS,Chest_pain
R065400,18183,[D]Pleuritic pain,Chest_pain
R065500,24761,[D]Pleurodynia,Chest_pain
R065600,7878,[D]Chest discomfort,Chest_pain
R065700,15528,[D]Chest pressure,Chest_pain
R065800,1270,[D]Chest tightness,Chest_pain
R065900,19199,[D]Parasternal chest pain,Chest_pain
R065A00,3518,[D]Musculoskeletal chest pain,Chest_pain
R065B00,9340,[D]Non cardiac chest pain,Chest_pain
R065B14,7844,[D]Non-cardiac chest pain,Chest_pain
R065C00,21082,[D]Retrosternal chest pain,Chest_pain
R065D00,50477,[D]Central chest pain,Chest_pain
R065z00,3796,[D]Chest pain NOS,Chest_pain
Ryu0400,53806,[X]Other chest pain,Chest_pain
14k..00,106211,H/O: fever,Chills_and_fever
14k..11,106314,H/O: pyrexia,Chills_and_fever
165..11,6065,Fever symptoms,Chills_and_fever
165..12,6086,Pyrexia symptoms,Chills_and_fever
1652.00,5859,Feels hot/feverish,Chills_and_fever
1653.00,47246,Fever with sweating,Chills_and_fever
1654.00,1314,Having rigors,Chills_and_fever
1654.11,8707,Rigor - symptom,Chills_and_fever
1655.00,8224,C/O shivering,Chills_and_fever
1656.00,8950,Feverish cold,Chills_and_fever
171F.00,18907,Cough with fever,Chills_and_fever
2E...11,5892,O/E - fever,Chills_and_fever
2E1..00,14744,O/E - fever - general,Chills_and_fever
2E13.00,2717,O/E -pyrexia of unknown origin,Chills_and_fever
2E13.11,7118,O/E - pyrexia - ? cause,Chills_and_fever
2E1Z.00,35761,O/E - fever - general NOS,Chills_and_fever
2E3..00,22620,O/E - level of fever,Chills_and_fever
2E34.00,27231,O/E - temperature elevated,Chills_and_fever
2E35.00,25311,O/E - hyperpyrexia-> 40.5 oCEL,Chills_and_fever
2E3Z.00,64688,O/E - level of fever NOS,Chills_and_fever
2E4..00,51514,O/E - character of fever,Chills_and_fever
2E4..11,50417,O/E - temperature character,Chills_and_fever
2E41.00,53952,O/E - fever - acute rise,Chills_and_fever
2E42.00,73259,O/E - fever - gradual rise,Chills_and_fever
2E43.00,66310,O/E - fever - continuous,Chills_and_fever
2E44.00,17722,O/E - fever - remittent,Chills_and_fever
2E45.00,31412,O/E - fever - intermittent,Chills_and_fever
2E46.00,1000646,O/E - staircase fever,Chills_and_fever
2E47.00,107717,O/E - fever - irregular,Chills_and_fever
2E48.00,1000647,O/E - fever - fast fall-crisis,Chills_and_fever
2E49.00,1000648,O/E - fever-gradual fall-lysis,Chills_and_fever
2E4Z.00,111014,O/E - fever character NOS,Chills_and_fever
2EZ..00,46292,O/E - fever NOS,Chills_and_fever
2F1E.00,104650,Warm skin,Chills_and_fever
A782.00,19939,Sweating fever,Chills_and_fever
A782.11,70858,Miliary fever,Chills_and_fever
A87..00,21430,Relapsing fever,Chills_and_fever
A87z.00,111005,Relapsing fever NOS,Chills_and_fever
Ayu5400,1005056,"[X]Relapsing fever, unspecified",Chills_and_fever
H00..00,3260,Acute nasopharyngitis,Chills_and_fever
H00..11,368,Common cold,Chills_and_fever
H00..12,1246,Coryza - acute,Chills_and_fever
H00..13,6620,Febrile cold,Chills_and_fever
H00..15,9093,Pyrexial cold,Chills_and_fever
H00..16,3821,Rhinitis - acute,Chills_and_fever
M228.00,9718,Sweet's syndrome,Chills_and_fever
M228.11,580,Acute febrile neutrophilic dermatosis,Chills_and_fever
R006.00,2389,[D]Pyrexia of unknown origin,Chills_and_fever
R006.11,17989,[D]Fever of unknown origin,Chills_and_fever
R006000,23349,[D]Chills with fever,Chills_and_fever
R006100,20119,[D]Hyperpyrexia NOS,Chills_and_fever
R006200,1020,[D]Fever NOS,Chills_and_fever
R006300,22444,[D]Persistent fever,Chills_and_fever
R006y00,108544,[D]Other specified fever,Chills_and_fever
R006z00,20367,[D]Pyrexia of unknown origin NOS,Chills_and_fever
R00z100,15669,[D]Chill(s) NOS,Chills_and_fever
13oD.00,1000218,Difficulty understanding single word instructions,Cognitive_problems
13oH.00,1000222,Difficulty understanding two word instructions,Cognitive_problems
13oJ.00,1000223,Difficulty understanding more than three word instructions,Cognitive_problems
13oM.00,1000225,Difficulty understanding three word instructions,Cognitive_problems
13oR.00,1000229,Difficulty understanding one part instructions,Cognitive_problems
13oV.00,1000232,Difficulty understanding two part instructions,Cognitive_problems
13oY.00,1000234,Difficulty understanding more than two part instructions,Cognitive_problems
1B1A.00,1993,Memory loss - amnesia,Cognitive_problems
1B1A.11,3639,Amnesia symptom,Cognitive_problems
1B1A.12,5777,Memory loss symptom,Cognitive_problems
1B1A.13,2908,Memory disturbance,Cognitive_problems
1B1A000,27788,Temporary loss of memory,Cognitive_problems
1B1A100,103453,Short-term memory loss,Cognitive_problems
1BR..00,10741,Reduced concentration,Cognitive_problems
1BR0.00,42988,Reduced concentration span,Cognitive_problems
1BR0.11,28394,Short attention span,Cognitive_problems
1BV2.00,73264,Difficulty comprehending concept of danger,Cognitive_problems
1BW..00,10378,Poor concentration,Cognitive_problems
1BcL.00,1000400,Difficulty understanding verbal language,Cognitive_problems
1BcN.00,110806,Does not understand verbal language,Cognitive_problems
1BcX.00,1000407,Difficulty comprehending speech,Cognitive_problems
1S21.00,67163,Disturbance of memory for order of events,Cognitive_problems
1S23.00,110307,Memory impairment,Cognitive_problems
284..00,1694,O/E - disorientated,Cognitive_problems
2842.00,66271,Disorientated in time,Cognitive_problems
28D..00,22332,Confabulation,Cognitive_problems
28E0.00,107282,Mild cognitive impairment,Cognitive_problems
28E1.00,107482,Moderate cognitive impairment,Cognitive_problems
3A10.00,52947,Memory: own age not known,Cognitive_problems
3A20.00,53146,Memory: present time not known,Cognitive_problems
3A30.00,53014,Memory: present place not knwn,Cognitive_problems
3A40.00,52948,Memory: present year not known,Cognitive_problems
3A50.00,53125,Memory: own DOB not known,Cognitive_problems
3A60.00,52825,Memory: present month not knwn,Cognitive_problems
3A70.00,52800,Memory: important event not kn,Cognitive_problems
3A80.00,52801,Memory: import.person not knwn,Cognitive_problems
3AA1.00,53016,Memory: address recall unsucc.,Cognitive_problems
8HTY.00,22802,Referral to memory clinic,Cognitive_problems
E2A1000,6387,Mild memory disturbance,Cognitive_problems
E2A1100,6061,Organic memory impairment,Cognitive_problems
E2F0.00,31567,Specific reading disorder,Cognitive_problems
E2F0000,3009,Reading disorder unspecified,Cognitive_problems
E2F0z00,62096,Specific reading disorder NOS,Cognitive_problems
Eu05700,11936,[X]Mild cognitive disorder,Cognitive_problems
Eu81000,28330,[X]Specific reading disorder,Cognitive_problems
Eu81011,24104,[X]Backward reading,Cognitive_problems
Eu81012,24762,[X]Developmental dyslexia,Cognitive_problems
Eu81013,55406,[X]Specific reading retardation,Cognitive_problems
Eu90000,6512,[X]Disturbance of activity and attention,Cognitive_problems
R00z011,7711,[D]Memory deficit,Cognitive_problems
R00zX00,20683,"[D]Disorientation, unspecified",Cognitive_problems
R043.00,15651,[D]Aphasia,Cognitive_problems
R046300,3397,[D]Dyslexia,Cognitive_problems
Ryu5000,70677,[X]Other amnesia,Cognitive_problems
Ryu5700,52811,"[X]Disorientation, unspecified",Cognitive_problems
Z7C5300,38194,Reduced concentration span,Cognitive_problems
Z7C5311,52439,Reduced attention span,Cognitive_problems
Z7C5312,22789,Short attention span,Cognitive_problems
Z7C8200,24972,Unable to read,Cognitive_problems
Z7C8300,24971,Difficulty reading,Cognitive_problems
Z7CC300,11735,Disorientated,Cognitive_problems
Z7CC400,41993,Disorientated in time,Cognitive_problems
Z7CC500,41994,Disorientated in place,Cognitive_problems
Z7CC600,66012,Disorientation for person,Cognitive_problems
Z7CC611,41995,Disorientated in person,Cognitive_problems
Z7CC700,55460,Spatial disorientation,Cognitive_problems
Z7CC800,1016079,Right-left disorientation,Cognitive_problems
Z7CE400,51379,Memory disturbance (& amnesia (& symptom)),Cognitive_problems
Z7CE412,67838,Memory loss symptom,Cognitive_problems
Z7CE413,103375,Memory loss - amnesia,Cognitive_problems
Z7CE414,105538,Memory disturbance,Cognitive_problems
Z7CE415,102880,Loss of memory,Cognitive_problems
Z7CE611,10123,Memory loss,Cognitive_problems
Z7CE612,68230,Memory gone,Cognitive_problems
Z7CE614,12805,Memory loss - amnesia,Cognitive_problems
Z7CE615,19297,Loss of memory,Cognitive_problems
Z7CE616,12277,LOM - Loss of memory,Cognitive_problems
Z7CEA11,32367,Impairment of working memory,Cognitive_problems
Z7CEA13,65696,Impairment of primary memory,Cognitive_problems
Z7CEB11,1016082,Loss of memory for remote events,Cognitive_problems
Z7CEC11,9786,Loss of memory for recent events,Cognitive_problems
Z7CEC12,67802,No memory for recent events,Cognitive_problems
Z7CEF00,67998,Temporary loss of memory,Cognitive_problems
Z7CEG00,47882,Transient memory loss,Cognitive_problems
Z7CEH00,10514,Memory impairment,Cognitive_problems
Z7CEH11,39915,Memory dysfunction,Cognitive_problems
Z7CEH12,50418,Memory deficit,Cognitive_problems
Z7CEH14,12057,Memory problem,Cognitive_problems
Z7CEL00,51724,Mild memory disturbance,Cognitive_problems
Z7CEN11,64892,Invents experiences to compensate for loss of memory,Cognitive_problems
Z7CF811,10571,Short-term memory loss,Cognitive_problems
Z7CFO11,47581,Long-term memory loss,Cognitive_problems
ZR1X.00,36713,Assessing reading difficulties,Cognitive_problems
ZS32.11,57256,Specific reading difficulty,Cognitive_problems
ZT4c511,68908,Difficulty perform social use of conversation,Cognitive_problems
186..00,7213,C/O cold extremities,Cold_extremities
186..11,16952,C/O cold peripheries,Cold_extremities
1860.00,4124,C/O cold hands,Cold_extremities
1861.00,4474,C/O cold feet,Cold_extremities
186z.00,36430,C/O cold extremities NOS,Cold_extremities
2G13.00,17210,O/E - cold extremities,Cold_extremities
2G13.11,15980,O/E - cold peripheries,Cold_extremities
19C..00,1028,Constipation,Constipation
19C..11,2004,Constipation symptom,Constipation
19C..12,34747,Costive symptom,Constipation
19C2.00,17652,Constipated,Constipation
19CZ.00,20450,Constipation NOS,Constipation
19EC.00,8541,Painful defaecation,Constipation
2AF2.00,98785,O/E - defaec.ref.abn.-constip.,Constipation
4745.00,52085,Faeces consistency: hard,Constipation
8CMW100,105656,Constipation in children clinical pathway,Constipation
E264500,15939,Psychogenic constipation,Constipation
J503.00,17436,Impaction of the intestine,Constipation
J503100,10687,Faecal impaction,Constipation
J520.00,1709,Constipation - functional,Constipation
J520000,23641,Acute constipation,Constipation
J520100,6364,Chronic constipation with overflow,Constipation
J520200,25797,Chronic constipation without overflow,Constipation
J520400,99999,Chronic constipation,Constipation
J520y00,24180,Other specified constipation,Constipation
J520z00,5803,Constipation NOS,Constipation
Jyu5100,53778,[X]Other impaction of intestine,Constipation
R079.00,21618,[D] Defaecation painful,Constipation
R079.11,25772,[D] Dyschezia,Constipation
171..00,92,Cough,Cough
171..11,1273,C/O - cough,Cough
1712.00,4931,Dry cough,Cough
1713.00,7706,Productive cough -clear sputum,Cough
1714.00,7773,Productive cough -green sputum,Cough
1715.00,7708,Productive cough-yellow sputum,Cough
1716.00,1234,Productive cough NOS,Cough
1716.11,3645,Coughing up phlegm,Cough
1717.00,3068,Night cough present,Cough
1719.00,292,Chesty cough,Cough
1719.11,1025,Bronchial cough,Cough
171A.00,1612,Chronic cough,Cough
171B.00,3628,Persistent cough,Cough
171C.00,4070,Morning cough,Cough
171D.00,29318,Evening cough,Cough
171E.00,43795,Unexplained cough,Cough
171F.00,18907,Cough with fever,Cough
171K.00,90332,Barking cough,Cough
171L.00,100333,Cough on exercise,Cough
171Z.00,7707,Cough symptom NOS,Cough
173B.00,4836,Nocturnal cough / wheeze,Cough
R062.00,1160,[D]Cough,Cough
R062100,104163,[D]Episodic dry cough,Cough
19EE.00,18682,Increased frequency of defaecation,Diarrhoea
19F..00,5134,Diarrhoea symptoms,Diarrhoea
19F..11,192,Diarrhoea,Diarrhoea
19F..12,1695,Loose stools,Diarrhoea
19F2.00,4343,Diarrhoea,Diarrhoea
19F3.00,21294,Spurious (overflow) diarrhoea,Diarrhoea
19F4.00,3689,Toddlers diarrhoea,Diarrhoea
19F5.00,107076,Time since last episode of diarrhoea,Diarrhoea
19FZ.00,14695,Diarrhoea symptom NOS,Diarrhoea
19FZ.11,2182,"Diarrhoea & vomiting, symptom",Diarrhoea
19G..00,7644,Diarrhoea and vomiting,Diarrhoea
2AF3.00,58797,O/E -defaec.ref-spurious diar.,Diarrhoea
4743.00,30684,Faeces consistency: semi-fluid,Diarrhoea
4744.00,39233,Faeces consistency: fluid,Diarrhoea
A074011,53739,Diarrhoea due to staphylococcus,Diarrhoea
A074012,61519,Diarrhoea due to staphylococcal toxin,Diarrhoea
A074100,54552,Pseudomonas gastrointestinal tract infection,Diarrhoea
A074111,56957,Diarrhoea due to Pseudomonas pyocyanea,Diarrhoea
A074300,1200,Campylobacter gastrointestinal tract infection,Diarrhoea
A074311,6007,Diarrhoea due to Campylobacter jejuni,Diarrhoea
A074312,7552,Campylobacter enteritis,Diarrhoea
A076.11,15289,Viral diarrhoea,Diarrhoea
A076.12,15933,Viral vomiting,Diarrhoea
A07y000,3107,Viral gastroenteritis,Diarrhoea
A081200,4798,Gastroenteritis - presumed infectious origin,Diarrhoea
A082.00,4542,Infectious diarrhoea,Diarrhoea
A082.11,11155,Travellers' diarrhoea,Diarrhoea
A082000,2133,Dysenteric diarrhoea,Diarrhoea
A082100,36613,Epidemic diarrhoea,Diarrhoea
A082111,20569,Viral gastroenteritis,Diarrhoea
A082z00,48313,Infectious diarrhoea NOS,Diarrhoea
A083.00,5090,Diarrhoea of presumed infectious origin,Diarrhoea
A083.11,14665,Diarrhoea & vomiting -? infect,Diarrhoea
Ayu0H00,52750,[X]Diarrhoea+gastroenteritis of presumed infectious origin,Diarrhoea
E264300,15371,Psychogenic diarrhoea,Diarrhoea
E264311,10158,Spurious diarrhoea,Diarrhoea
Eu45300,41038,[X]Somatoform autonomic dysfunction,Diarrhoea
Eu45311,44269,[X]Cardiac neurosis,Diarrhoea
Eu45312,32632,[X]Da Costa's syndrome,Diarrhoea
Eu45313,63259,[X]Gastric neurosis,Diarrhoea
Eu45314,50793,[X]Neurocirculatory asthenia,Diarrhoea
Eu45316,12715,[X]Psychogenic cough,Diarrhoea
Eu45317,43316,[X]Psychogenic diarrhoea,Diarrhoea
Eu45318,16714,[X]Psychogenic dyspepsia,Diarrhoea
Eu45319,53122,[X]Psychogenic dysuria,Diarrhoea
Eu45320,47698,[X]Psychogenic flatulence,Diarrhoea
Eu45321,53737,[X]Psychogenic hiccough,Diarrhoea
Eu45323,17081,[X]Psychogenic freq micturit,Diarrhoea
Eu45324,16560,[X]Psychogenic IBS,Diarrhoea
Eu45325,93067,[X]Psychogenic pylorospasm,Diarrhoea
J4...13,6016,Noninfective diarrhoea,Diarrhoea
J43..11,139,Gastroenteritis,Diarrhoea
J432.11,13387,Allergic diarrhoea,Diarrhoea
J433.11,17162,Dietetic diarrhoea,Diarrhoea
J43z.00,20343,Other non-infective gastroenteritis and colitis NOS,Diarrhoea
J43z.11,6685,Chronic diarrhoea,Diarrhoea
J4z..11,30321,Presumed noninfectious diarrhoea,Diarrhoea
J4zz.11,17017,Diarrhoea - presumed non-infectious,Diarrhoea
J520100,6364,Chronic constipation with overflow,Diarrhoea
J521000,29835,Irritable bowel syndrome with diarrhoea,Diarrhoea
J525.00,5036,Functional diarrhoea,Diarrhoea
J6A..00,104662,Gastroenteritis and colitis of unknown origin,Diarrhoea
Jyu4200,103290,[X]Other specified noninfective gastroenteritis+colitis,Diarrhoea
Q46y100,38163,Neonatal diarrhoea,Diarrhoea
R077100,14881,[D] Stools loose,Diarrhoea
SLD5.00,99007,Antidiarrhoeal poisoning,Diarrhoea
SLD5z00,104518,Antidiarrhoeal poisoning NOS,Diarrhoea
TJD5.00,99714,Adverse reaction to antidiarrhoeal drugs,Diarrhoea
TJD5z00,94288,Adverse reaction to antidiarrhoeal drugs NOS,Diarrhoea
U60D600,98948,[X]Antidiarrhoeal drugs caus adverse effects in therap use,Diarrhoea
U60D611,94773,[X] Adverse reaction to antidiarrhoeal drug,Diarrhoea
U60D616,1015234,[X] Adverse reaction to antidiarrhoeal drugs NOS,Diarrhoea
1B72.00,5991,Diplopia/double vision,Diplopia
1B72.11,1617,Diplopia,Diplopia
1B72.12,3553,Double vision,Diplopia
F481E00,34686,Refractive diplopia,Diplopia
F482.00,18462,Diplopia (double vision),Diplopia
F48y000,746,Blurred vision NOS,Diplopia
F48y011,21748,Cloudy vision NOS,Diplopia
F48y012,40955,Dull vision NOS,Diplopia
1N03.00,12220,C/O: dry skin,Dry_and_scaly_skin
2587.12,8587,O/E - abdominal skin dry,Dry_and_scaly_skin
2F13.00,2359,O/E - dry skin,Dry_and_scaly_skin
2F15.00,3103,O/E - rough skin,Dry_and_scaly_skin
2F9..00,7439,O/E - skin scales,Dry_and_scaly_skin
2F9..11,10361,O/E - scaling on skin,Dry_and_scaly_skin
2F92.00,47422,O/E - skin scales present,Dry_and_scaly_skin
2F93.00,61358,O/E - skin - small scales,Dry_and_scaly_skin
2F94.00,51625,O/E - skin - large scales,Dry_and_scaly_skin
2F9Z.00,36353,O/E - skin scales NOS,Dry_and_scaly_skin
M211.12,371,Ichthyosis - acquired,Dry_and_scaly_skin
M211600,23639,Acquired ichthyosis,Dry_and_scaly_skin
M26y000,12895,Asteatosis cutis,Dry_and_scaly_skin
M26y100,24109,Xerosis cutis,Dry_and_scaly_skin
PH1..00,370,Ichthyosis congenita,Dry_and_scaly_skin
PH10.00,36468,"Congenital ichthyosis, unspecified",Dry_and_scaly_skin
PH1y.00,71520,Other specified ichthyosis congenita,Dry_and_scaly_skin
PH1z.00,64322,Ichthyosis congenita NOS,Dry_and_scaly_skin
Pyu9000,100661,[X]Other congenital ichthyosis,Dry_and_scaly_skin
Z1O1300,19034,Drying skin creases,Dry_and_scaly_skin
1B88.00,5788,Dry eyes,Dry_eye
F4A3200,23657,Keratoconjunctivitis sicca (excluding Sjogren's syndrome),Dry_eye
F4F1400,2047,Dry eye syndrome,Dry_eye
F4F1411,16672,Tear film insufficiency,Dry_eye
F4F1412,3050,Gritty eye,Dry_eye
N002.11,1928,Keratoconjunctivitis sicca,Dry_eye
16S..00,103791,Mucous membrane dryness,Dry_mouth
1927.00,2774,Dry mouth,Dry_mouth
2522.00,23909,O/E - dry/cracked lips,Dry_mouth
2522.11,12456,O/E - cracked lips,Dry_mouth
2562.00,24928,O/E - dry tongue,Dry_mouth
J077011,15172,Xerostomia,Dry_mouth
J077012,11325,Dry mouth,Dry_mouth
J095.00,49659,Plicated (scrotal) tongue,Dry_mouth
PA13.00,23769,Fissure of tongue,Dry_mouth
Ryu7800,52955,"[X]Dry mouth, unspecified",Dry_mouth
2B48.00,7081,O/E - dysarthria,Dysarthria
Eu80000,31813,[X]Specific speech articulation disorder,Dysarthria
Eu80014,62010,[X]Functional speech articulation disorder,Dysarthria
R045000,4834,[D]Dysarthria,Dysarthria
R045200,8752,[D]Slurred speech,Dysarthria
ZS42.00,19124,Dysarthria,Dysarthria
ZT21400,19053,Slurred speech,Dysarthria
1924.00,8938,Loss of taste,Dysgeusia
1924.11,17096,C/O - loss of taste sense,Dysgeusia
2BK2.00,109476,O/E -taste loss ant.2/3 tongue,Dysgeusia
2BK3.00,1000624,O/E-taste loss post 1/3 tongue,Dysgeusia
R011200,4807,[D]Parageusia,Dysgeusia
ZV41512,7385,[V]Problems with taste,Dysgeusia
194..00,10360,Swallowing symptoms,Dysphagia
194..11,1241,Dysphagia,Dysphagia
1942.00,6300,Difficulty swallowing solids,Dysphagia
1943.00,26042,Difficulty swallowing liquids,Dysphagia
1944.00,18878,Painful swallowing,Dysphagia
1944.11,41885,Odynophagia,Dysphagia
1946.00,110485,Chokes when swallowing,Dysphagia
194Z.00,32194,Swallowing symptom NOS,Dysphagia
25W..00,111089,"",Dysphagia
25W1.00,1000586,O/E - swallowing abnormality,Dysphagia
8B3O300,31059,Drug declined by patient - problem swallowing,Dysphagia
8T0K.00,108145,Referral to feeding and swallowing service,Dysphagia
9Oq7.00,103094,Dysphagia screening completed,Dysphagia
R072.00,4281,[D]Dysphagia,Dysphagia
R072000,727,[D]Difficulty in swallowing,Dysphagia
R072z00,30955,[D]Dysphagia NOS,Dysphagia
ZD34.00,45560,Dysphagia therapy regime,Dysphagia
ZD34100,48678,Protected swallow technique,Dysphagia
ZD5..00,48764,Swallowing promotion therapy,Dysphagia
ZRrK.00,51247,Warner dysphagia assessment,Dysphagia
ZV41600,70256,[V]Problem with swallowing or mastication,Dysphagia
ZV41612,16693,[V]Problems with swallowing,Dysphagia
2B4..00,24491,O/E - speech defect,Dysphasia
2B4..11,7583,O/E - aphasia,Dysphasia
2B4..12,9007,O/E - dysphasia,Dysphasia
2B42.00,31406,O/E - motor aphasia,Dysphasia
2B43.00,29380,O/E - sensory aphasia,Dysphasia
2B44.00,31611,O/E - aphasia NOS,Dysphasia
2B45.00,54715,O/E - dysphasia - motor,Dysphasia
2B45.11,21724,O/E - motor dysphasia,Dysphasia
2B46.00,69901,O/E - dysphasia - sensory,Dysphasia
2B46.11,25975,O/E - sensory dysphasia,Dysphasia
2B47.00,45484,O/E - dysphasia - NOS,Dysphasia
2B4Z.00,21035,O/E - speech defect NOS,Dysphasia
8E24.00,42830,Dysphasia training,Dysphasia
R043.00,15651,[D]Aphasia,Dysphasia
R045100,3537,[D]Dysphasia,Dysphasia
ZS78.00,9992,Dysphasia,Dysphasia
ZS78.11,11598,Aphasia,Dysphasia
ZS78100,48292,Acquired dysphasias,Dysphasia
ZS78200,64964,Mixed transcortical dysphasia,Dysphasia
ZS78212,95596,Isolation dysphasia,Dysphasia
ZS78400,1017525,Transcortical motor dysphasia,Dysphasia
ZS78512,56551,Anomic dysphasia,Dysphasia
