,text,cui,name,start,end,substance_category,allergy_type,severity
249,mod 2-hydroxycyclohexanone 2-monooxygenase allergy,130070000,2-hydroxycyclohexanone 2-monooxygenase,4,42,adverse reaction,allergy,moderate
250,"moderate beta-1,3-galactosyl-o-glycosyl-glycoprotein beta-1,6-n-acetylglucosaminyltransferase allergy",10373001,"beta-1,3-galactosyl-o-glycosyl-glycoprotein beta-1,6-n-acetylglucosaminyltransferase",9,93,adverse reaction,allergy,moderate
251,mod recombinant protein allergy,407073003,recombinant protein,4,23,adverse reaction,allergy,moderate
252,moderate apple flavor allergy,229775001,apple flavor,9,21,adverse reaction,allergy,moderate
253,mod perchloric acid allergy,54673002,perchloric acid,4,19,adverse reaction,allergy,moderate
254,mod isophorone di-isocyanate allergy,256125007,isophorone di-isocyanate,4,28,adverse reaction,allergy,moderate
255,moderate respiratory fluid allergy,410579004,respiratory fluid,9,26,adverse reaction,allergy,moderate
256,mod loteprednol etabonate allergy,387047007,loteprednol etabonate,4,25,adverse reaction,allergy,moderate
257,"mod quercetin-3,3'-bissulfate 7-sulfotransferase allergy",130473005,"quercetin-3,3'-bissulfate 7-sulfotransferase",4,48,adverse reaction,allergy,moderate
258,moderate onasemnogene abeparvovec allergy,39601611000001100,onasemnogene abeparvovec,9,33,adverse reaction,allergy,moderate
259,moderate rhamnulose-1-phosphate aldolase allergy,24517002,rhamnulose-1-phosphate aldolase,9,40,adverse reaction,allergy,moderate
260,moderate b*5103 allergy,257015007,b*5103,9,15,adverse reaction,allergy,moderate
261,mod dopachrome isomerase allergy,130890005,dopachrome isomerase,4,24,adverse reaction,allergy,moderate
262,mod yeast plasmolysate allergy,426063001,yeast plasmolysate,4,22,adverse reaction,allergy,moderate
263,serious hemoglobin j-bangkok allergy,32317008,hemoglobin j-bangkok,8,28,adverse reaction,allergy,severe
264,severe lumpy food allergy,228056005,lumpy food,7,17,adverse reaction,allergy,severe
265,bad punjabi puri allergy,229909002,punjabi puri,4,16,adverse reaction,allergy,severe
266,severe oligoclonal band allergy,259810009,oligoclonal band,7,23,adverse reaction,allergy,severe
267,serious lysine decarboxylase allergy,79328003,lysine decarboxylase,8,28,adverse reaction,allergy,severe
268,bad sweet pancake allergy,227745003,sweet pancake,4,17,adverse reaction,allergy,severe
269,serious leukotriene c allergy,13841004,leukotriene c,8,21,adverse reaction,allergy,severe
270,severe holo-[acyl-carrier-protein] synthase allergy,51162007,holo-[acyl-carrier-protein] synthase,7,43,adverse reaction,allergy,severe
271,serious benzyl cinnamate allergy,256016003,benzyl cinnamate,8,24,adverse reaction,allergy,severe
272,serious gastrin g17 allergy,259345007,gastrin g17,8,19,adverse reaction,allergy,severe
273,serious processed food allergy,819010002,processed food,8,22,adverse reaction,allergy,severe
274,bad abietic acid allergy,255994007,abietic acid,4,16,adverse reaction,allergy,severe
275,severe polyvinylidene chloride allergy,62916003,polyvinylidene chloride,7,30,adverse reaction,allergy,severe
276,serious loteprednol etabonate allergy,387047007,loteprednol etabonate,8,29,adverse reaction,allergy,severe
277,serious benzestrol allergy,126184007,benzestrol,8,18,adverse reaction,allergy,severe
278,"bad 2,5-diaminotoluene sulfate allergy",255948009,"2,5-diaminotoluene sulfate",4,30,adverse reaction,allergy,severe
279,bad bee pollen allergy,412583005,bee pollen,4,14,adverse reaction,allergy,severe
280,bad 4-alpha-glucanotransferase allergy,53990002,4-alpha-glucanotransferase,4,30,adverse reaction,allergy,severe
281,serious mercuric cyanide allergy,76178007,mercuric cyanide,8,24,adverse reaction,allergy,severe
282,severe aspartoacylase allergy,74849006,aspartoacylase,7,21,adverse reaction,allergy,severe
283,medication tenofovir alafenamide 5 grams,34974411000001109,tenofovir alafenamide,11,32,taking,unspecified,unspecified
284,med caffeine citrate 5 tab,23428011000001108,caffeine citrate,4,20,taking,unspecified,unspecified
285,medication: homeopathic cinnabar 5 tablets,11803111000001108,homeopathic cinnabar,12,32,taking,unspecified,unspecified
286,medication: ceftaroline fosamil 1 gram,13293101000001107,ceftaroline fosamil,12,31,taking,unspecified,unspecified
287,medication:- etilefrine 4 tablets,19678211000001104,etilefrine,13,23,taking,unspecified,unspecified
288,med diphencyprone 2 grams,14935411000001109,diphencyprone,4,17,taking,unspecified,unspecified
289,medication lanadelumab 4 milligram,37755411000001108,lanadelumab,11,22,taking,unspecified,unspecified
290,medication:- sodium dichloroacetate 1 puff,40218311000001100,sodium dichloroacetate,13,35,taking,unspecified,unspecified
291,meds- promethazine teoclate 4 mg,13868511000001100,promethazine teoclate,6,27,taking,unspecified,unspecified
292,medication- rotavirus vaccine 5 capsule,10379911000001105,rotavirus vaccine,12,29,taking,unspecified,unspecified
293,med blackcurrant syrup 4 mg,5172511000001109,blackcurrant syrup,4,22,taking,unspecified,unspecified
294,medication co-beneldopa 4 tablet,18036811000001106,co-beneldopa,11,23,taking,unspecified,unspecified
295,meds cangrelor 5 tab,30207611000001105,cangrelor,5,14,taking,unspecified,unspecified
296,medication- chlorocresol powder 1 g,10561311000001104,chlorocresol powder,12,31,taking,unspecified,unspecified
297,medication:- pemigatinib 4 capsule,39933711000001101,pemigatinib,13,24,taking,unspecified,unspecified
298,meds:- tivozanib 2 tablet,35040611000001104,tivozanib,7,16,taking,unspecified,unspecified
299,medication:- dl-methionine 5 capsules,23965611000001103,dl-methionine,13,26,taking,unspecified,unspecified
300,meds: cenobamate 2 tablets,40200511000001106,cenobamate,6,16,taking,unspecified,unspecified
301,medication mifamurtide 4 tablets,16699211000001107,mifamurtide,11,22,taking,unspecified,unspecified
302,med fluphenazine hydrochloride 3 mg,13314711000001103,fluphenazine hydrochloride,4,30,taking,unspecified,unspecified
303,adverse reaction to tenofovir disoproxil (intolerance) - mild tummy ache,30934411000001109,tenofovir disoproxil,20,40,adverse reaction,intolerance,mild
304,adverse reaction to dl-methionine (intolerance) - mild tummy ache,23965611000001103,dl-methionine,20,33,adverse reaction,intolerance,mild
305,adverse reaction to botulinum antitoxin (intolerance) - mild tummy ache,19317211000001100,botulinum antitoxin,20,39,adverse reaction,intolerance,mild
306,adverse reaction to selinexor (intolerance) - mild tummy ache,39119311000001105,selinexor,20,29,adverse reaction,intolerance,mild
307,adverse reaction to vonicog alfa (intolerance) - mild tummy ache,38721211000001100,vonicog alfa,20,32,adverse reaction,intolerance,mild
308,adverse reaction to hyoscine butylbromide (intolerance) - mild tummy ache,13868211000001103,hyoscine butylbromide,20,41,adverse reaction,intolerance,mild
309,adverse reaction to allicin (intolerance) - mild tummy ache,21202711000001109,allicin,20,27,adverse reaction,intolerance,mild
310,adverse reaction to lixisenatide (intolerance) - mild tummy ache,22020311000001105,lixisenatide,20,32,adverse reaction,intolerance,mild
311,adverse reaction to lysine powder (intolerance) - mild tummy ache,38717211000001101,lysine powder,20,33,adverse reaction,intolerance,mild
312,adverse reaction to glucarpidase (intolerance) - mild tummy ache,34200711000001104,glucarpidase,20,32,adverse reaction,intolerance,mild
313,adverse reaction to pine mistletoe (intolerance) - mild tummy ache,11466811000001104,pine mistletoe,20,34,adverse reaction,intolerance,mild
314,adverse reaction to hydroquinidine (intolerance) - mild tummy ache,33768011000001109,hydroquinidine,20,34,adverse reaction,intolerance,mild
315,adverse reaction to secnidazole (intolerance) - mild tummy ache,32632911000001103,secnidazole,20,31,adverse reaction,intolerance,mild
316,adverse reaction to phenobarbital sodium (intolerance) - mild tummy ache,13912111000001101,phenobarbital sodium,20,40,adverse reaction,intolerance,mild
317,adverse reaction to tetanus vaccine (intolerance) - mild tummy ache,9895311000001103,tetanus vaccine,20,35,adverse reaction,intolerance,mild
318,adverse reaction to gadoteric acid (intolerance) - mild tummy ache,29914411000001100,gadoteric acid,20,34,adverse reaction,intolerance,mild
319,adverse reaction to potassium ascorbate (intolerance) - mild tummy ache,19980411000001109,potassium ascorbate,20,39,adverse reaction,intolerance,mild
320,adverse reaction to sodium cromoglicate (intolerance) - mild tummy ache,36410311000001109,sodium cromoglicate,20,39,adverse reaction,intolerance,mild
321,adverse reaction to co-codaprin (intolerance) - mild tummy ache,18037811000001108,co-codaprin,20,31,adverse reaction,intolerance,mild
322,adverse reaction to creatine (intolerance) - mild tummy ache,27945611000001103,creatine,20,28,adverse reaction,intolerance,mild
323,intolerant of nonacog gamma moderate diarrhoea.,32689111000001102,nonacog gamma,14,27,adverse reaction,intolerance,moderate
324,intolerance to multimineral tablets moderate diarrhoea.,7594611000001100,multimineral tablets,15,35,adverse reaction,intolerance,moderate
325,intolerant of potassium ascorbate moderate diarrhoea.,19980411000001109,potassium ascorbate,14,33,adverse reaction,intolerance,moderate
326,intolerant to vernakalant moderate diarrhoea.,37238511000001107,vernakalant,14,25,adverse reaction,intolerance,moderate
327,intolerant of filgotinib moderate diarrhoea.,39046711000001100,filgotinib,14,24,adverse reaction,intolerance,moderate
328,intolerant to glucose powder moderate diarrhoea.,328302009,glucose powder,14,28,adverse reaction,intolerance,moderate
329,intolerant to squill oxymel moderate diarrhoea.,5241411000001101,squill oxymel,14,27,adverse reaction,intolerance,moderate
330,intolerance to laurilsulfate moderate diarrhoea.,17905911000001103,laurilsulfate,15,28,adverse reaction,intolerance,moderate
331,intolerance of vinflunine moderate diarrhoea.,16698611000001100,vinflunine,15,25,adverse reaction,intolerance,moderate
332,intolerant of lixisenatide moderate diarrhoea.,22020311000001105,lixisenatide,14,26,adverse reaction,intolerance,moderate
333,intolerant of pneumococcal vaccine moderate diarrhoea.,9894911000001101,pneumococcal vaccine,14,34,adverse reaction,intolerance,moderate
334,intolerant to water potable moderate diarrhoea.,9151311000001103,water potable,14,27,adverse reaction,intolerance,moderate
335,intolerance to norethisterone enantate moderate diarrhoea.,13964211000001102,norethisterone enantate,15,38,adverse reaction,intolerance,moderate
336,intolerance to guselkumab moderate diarrhoea.,35015511000001103,guselkumab,15,25,adverse reaction,intolerance,moderate
337,intolerant to toiletries liquid moderate diarrhoea.,7821711000001101,toiletries liquid,14,31,adverse reaction,intolerance,moderate
338,intolerant to nalmefene moderate diarrhoea.,22404211000001106,nalmefene,14,23,adverse reaction,intolerance,moderate
339,intolerance of axicabtagene ciloleucel moderate diarrhoea.,36461111000001102,axicabtagene ciloleucel,15,38,adverse reaction,intolerance,moderate
340,intolerant to glucosamine sulphate moderate diarrhoea.,10043411000001102,glucosamine sulphate,14,34,adverse reaction,intolerance,moderate
341,intolerance to l-acetylcarnitine moderate diarrhoea.,10604811000001100,l-acetylcarnitine,15,32,adverse reaction,intolerance,moderate
342,intolerance to trastuzumab deruxtecan moderate diarrhoea.,39484111000001108,trastuzumab deruxtecan,15,37,adverse reaction,intolerance,moderate
343,allergies: zinc insulin -anaphylaxis,10329000,zinc insulin,11,23,adverse reaction,allergy,severe
344,allergies: orotidine-5'-phosphate decarboxylase - anaphylaxis,61243000,orotidine-5'-phosphate decarboxylase,11,47,adverse reaction,allergy,severe
345,allergies: fresh peas -anaphylaxis,227369001,fresh peas,11,21,adverse reaction,allergy,severe
346,allergies: sultopride - anaphylaxis,717107003,sultopride,11,21,adverse reaction,allergy,severe
347,allergies: telotristat - anaphylaxis,733734004,telotristat,11,22,adverse reaction,allergy,severe
348,allergies: n-octanoylglycine -anaphylaxis,707678002,n-octanoylglycine,11,28,adverse reaction,allergy,severe
349,allergies: egg white -anaphylaxis,256443002,egg white,11,20,adverse reaction,allergy,severe
350,allergies: free cortisol - anaphylaxis,259344006,free cortisol,11,24,adverse reaction,allergy,severe
351,allergies: dried fig -anaphylaxis,227455000,dried fig,11,20,adverse reaction,allergy,severe
352,allergies: n-acetylglucosamine-6-sulfatase - anaphylaxis,15145009,n-acetylglucosamine-6-sulfatase,11,42,adverse reaction,allergy,severe
353,allergies: cotinine - anaphylaxis,115620009,cotinine,11,19,adverse reaction,allergy,severe
354,allergies: dimethyl carbamate -anaphylaxis,33780005,dimethyl carbamate,11,29,adverse reaction,allergy,severe
355,allergies: 3-hydroxyglutarate - anaphylaxis,115362009,3-hydroxyglutarate,11,29,adverse reaction,allergy,severe
356,allergies: 2-enoate reductase - anaphylaxis,14733001,2-enoate reductase,11,29,adverse reaction,allergy,severe
357,allergies: ornipressin - anaphylaxis,703839000,ornipressin,11,22,adverse reaction,allergy,severe
358,allergies: arrhenius acid - anaphylaxis,111063004,arrhenius acid,11,25,adverse reaction,allergy,severe
359,allergies: dihydrocarbostyril derivative -anaphylaxis,764429003,dihydrocarbostyril derivative,11,40,adverse reaction,allergy,severe
360,allergies: interleukin-6 -anaphylaxis,30965005,interleukin-6,11,24,adverse reaction,allergy,severe
361,allergies: ribitol dehydrogenase - anaphylaxis,61467006,ribitol dehydrogenase,11,32,adverse reaction,allergy,severe
362,allergies: undecaprenyl-phosphate galactose-phosphotransferase -anaphylaxis,112039009,undecaprenyl-phosphate galactose-phosphotransferase,11,62,adverse reaction,allergy,severe
363,likes chocolate truffle,229883002,chocolate truffle,6,23,irrelevant,unspecified,unspecified
364,eats ground ginger,227401004,ground ginger,5,18,irrelevant,unspecified,unspecified
365,eats fried prawns,227153001,fried prawns,5,17,irrelevant,unspecified,unspecified
366,eating fried haddock,227061009,fried haddock,7,20,irrelevant,unspecified,unspecified
367,eating glace cherry,227461002,glace cherry,7,19,irrelevant,unspecified,unspecified
368,eats vegetable bake,227967006,vegetable bake,5,19,irrelevant,unspecified,unspecified
369,eating evaporated milk,226787009,evaporated milk,7,22,irrelevant,unspecified,unspecified
370,likes fried plaice,227085001,fried plaice,6,18,irrelevant,unspecified,unspecified
371,eating half-cream,226797000,half-cream,7,17,irrelevant,unspecified,unspecified
372,likes whipping cream,226802006,whipping cream,6,20,irrelevant,unspecified,unspecified
373,likes jam,227601008,jam,6,9,irrelevant,unspecified,unspecified
374,eats leicester cheese,226836000,leicester cheese,5,21,irrelevant,unspecified,unspecified
375,eating potato salad,227940000,potato salad,7,19,irrelevant,unspecified,unspecified
376,likes chick peas,227346004,chick peas,6,16,irrelevant,unspecified,unspecified
377,likes anise seed,227376006,anise seed,6,16,irrelevant,unspecified,unspecified
378,eats passion fruit,227438004,passion fruit,5,18,irrelevant,unspecified,unspecified
379,likes soya flour,229941008,soya flour,6,16,irrelevant,unspecified,unspecified
380,eating tuna fish,227144008,tuna fish,7,16,irrelevant,unspecified,unspecified
381,likes boal,227041003,boal,6,10,irrelevant,unspecified,unspecified
382,likes fried liver,226992001,fried liver,6,17,irrelevant,unspecified,unspecified
383,he is allergic to hemoglobin olympia- swollen prostate,38810009,hemoglobin olympia,18,36,adverse reaction,allergy,unspecified
384,pt has allergy to technetium-93- congenital elephantiasis,111085005,technetium-93,18,31,adverse reaction,allergy,unspecified
385,pat has allergy to lead-209- bladder distention,47463009,lead-209,19,27,adverse reaction,allergy,unspecified
386,patient has allergy to zinc insulin- erythematosquamous dermatosis,10329000,zinc insulin,23,35,adverse reaction,allergy,unspecified
387,pat has allergy to thiohydroximate beta-d-glucosyltransferase- ankle pain,130379008,thiohydroximate beta-d-glucosyltransferase,19,61,adverse reaction,allergy,unspecified
388,patient is allergic to quazepam- anaphylaxis,108391004,quazepam,23,31,adverse reaction,allergy,unspecified
389,he has allergy to promethazine hydrochloride- rib pain,9723911000001106,promethazine hydrochloride,18,44,adverse reaction,allergy,unspecified
390,pat is allergic to benproperine - nocturnal dyspnea,703110003,benproperine,19,31,adverse reaction,allergy,unspecified
391,pt is allergic to gilteritinib fumarate- nasal obstruction,37898311000001101,gilteritinib fumarate,18,39,adverse reaction,allergy,unspecified
392,she has allergy to 3-ketovalidoxylamine c-n-lyase - ventricular tachycardia,130860003,3-ketovalidoxylamine c-n-lyase,19,49,adverse reaction,allergy,unspecified
393,pt is allergic to avelumab- pustular bacterid,34881111000001104,avelumab,18,26,adverse reaction,allergy,unspecified
394,"pat is allergic to 4,4'-methylene-bis-(2-chloroaniline) - inguinal pain",115621008,"4,4'-methylene-bis-",19,55,adverse reaction,allergy,unspecified
395,pt has allergy to agglutinogen- chronic constipation,72358008,agglutinogen,18,30,adverse reaction,allergy,unspecified
396,pat is allergic to beta-fructofuranosidase- brown sputum,68283002,beta-fructofuranosidase,19,42,adverse reaction,allergy,unspecified
397,he is allergic to bee pollen- arthritis mutilans,412583005,bee pollen,18,28,adverse reaction,allergy,unspecified
398,he is allergic to anthranilate 3-monooxygenase - chronic gastritis,74979000,anthranilate 3-monooxygenase,18,46,adverse reaction,allergy,unspecified
399,pt is allergic to hemoglobin e-saskatoon - persistent cough,36443006,hemoglobin e-saskatoon,18,40,adverse reaction,allergy,unspecified
400,pt is allergic to quercetin-3-sulfate 3'-sulfotransferase - generalized headache,130471007,quercetin-3-sulfate 3'-sulfotransferase,18,57,adverse reaction,allergy,unspecified
401,patient has allergy to calcium polycarbophil- excessive sweating,412105005,calcium polycarbophil,23,44,adverse reaction,allergy,unspecified
402,he has allergy to porcine heparin - telogen effluvium,412201008,porcine heparin,18,33,adverse reaction,allergy,unspecified
403,had bad nonulcer dyspepsia in the past every time he takes vinflunine,16698611000001100,vinflunine,59,69,adverse reaction,unspecified,severe
404,had severe blanching rash previously every time he takes co-amilofruse,34186711000001102,co-amilofruse,57,70,adverse reaction,unspecified,severe
405,had sev conjunctival edema prev whenever she takes fructose powder,39713511000001106,fructose powder,51,66,adverse reaction,unspecified,severe
406,had sev gastric hemorrhage previously when taking vortioxetine,30730111000001104,vortioxetine,50,62,adverse reaction,unspecified,severe
407,had sev breastfeeding painful in the past every time he takes blackcurrant syrup,5172511000001109,blackcurrant syrup,62,80,adverse reaction,unspecified,severe
408,had serious trigeminal neuralgia in the past every time she takes diphencyprone,14935411000001109,diphencyprone,66,79,adverse reaction,unspecified,severe
409,had severe subconjunctival edema previously whenever he takes corticotropin,36412111000001106,corticotropin,62,75,adverse reaction,unspecified,severe
410,had sev lightheadedness prev whenever he takes sucroferric oxyhydroxide,28453911000001100,sucroferric oxyhydroxide,47,71,adverse reaction,unspecified,severe
411,had bad allodynia in the past every time he takes co-dydramol,18035211000001104,co-dydramol,50,61,adverse reaction,unspecified,severe
412,had sev sore nipple previously whenever she takes doxorubicin (liposomal),13297201000001105,doxorubicin,50,73,adverse reaction,unspecified,severe
413,had sev prostatic pain prev whenever she takes l-arginine powder,328570003,l-arginine powder,47,64,adverse reaction,unspecified,severe
414,had severe conjunctival hyperemia prev whenever she takes ioflupane [i-123],39417211000001107,ioflupane [i-123],58,75,adverse reaction,unspecified,severe
415,had serious flatulent dyspepsia previously every time he takes benralizumab,35299711000001103,benralizumab,63,75,adverse reaction,unspecified,severe
416,had severe uveitis in the past every time she takes thyme,29005011000001103,thyme,52,57,adverse reaction,unspecified,severe
417,had bad prurigo simplex in the past whenever she takes cenobamate,40200511000001106,cenobamate,55,65,adverse reaction,unspecified,severe
418,had severe sneezing symptom in the past every time he takes ceftobiprole,31009711000001109,ceftobiprole,60,72,adverse reaction,unspecified,severe
419,had sev nocturia in the past when taking axicabtagene ciloleucel,36461111000001102,axicabtagene ciloleucel,41,64,adverse reaction,unspecified,severe
420,had severe racket nail previously whenever he takes fluphenazine decanoate,13292101000001100,fluphenazine decanoate,52,74,adverse reaction,unspecified,severe
421,had severe swollen thumb prev when taking copper ointment,7969511000001108,copper ointment,42,57,adverse reaction,unspecified,severe
422,had sev idiopathic urticaria prev whenever she takes cannabidiol,35022511000001100,cannabidiol,53,64,adverse reaction,unspecified,severe
423,had diarrhoea with macimorelin,40616211000001105,macimorelin,19,30,adverse reaction,intolerance,nan
424,had diarrhoea due to pegcetacoplan,40555711000001107,pegcetacoplan,21,34,adverse reaction,intolerance,nan
425,experienced diarrhoea with colfosceril palmitate,13292901000001102,colfosceril palmitate,27,48,adverse reaction,intolerance,nan
426,experienced diarrhoea with gadoteric acid,29914411000001100,gadoteric acid,27,41,adverse reaction,intolerance,nan
427,had diarrhoea due to fremanezumab,37223811000001103,fremanezumab,21,33,adverse reaction,intolerance,nan
428,had diarrhoea with niraparib,35018611000001105,niraparib,19,28,adverse reaction,intolerance,nan
429,experienced diarrhoea due to copper histidine,24682311000001102,copper histidine,29,45,adverse reaction,intolerance,nan
430,had diarrhoea due to ertugliflozin,36526211000001102,ertugliflozin,21,34,adverse reaction,intolerance,nan
431,experienced diarrhoea with hydrocortisone powder,4317011000001107,hydrocortisone powder,27,48,adverse reaction,intolerance,nan
432,experienced diarrhoea due to potassium permanganate,9722711000001101,potassium permanganate,29,51,adverse reaction,intolerance,nan
433,experienced diarrhoea with somatorelin,10049111000001105,somatorelin,27,38,adverse reaction,intolerance,nan
434,experienced diarrhoea with co-beneldopa,18036811000001106,co-beneldopa,27,39,adverse reaction,intolerance,nan
435,had diarrhoea due to sotrovimab,40384311000001103,sotrovimab,21,31,adverse reaction,intolerance,nan
436,experienced diarrhoea with emulsifying ointment,14608311000001101,emulsifying ointment,27,47,adverse reaction,intolerance,nan
437,experienced diarrhoea with nalmefene,22404211000001106,nalmefene,27,36,adverse reaction,intolerance,nan
438,experienced diarrhoea due to sucroferric oxyhydroxide,28453911000001100,sucroferric oxyhydroxide,29,53,adverse reaction,intolerance,nan
439,experienced diarrhoea due to venetoclax,33686611000001109,venetoclax,29,39,adverse reaction,intolerance,nan
440,had diarrhoea due to formaldehyde solution,5174211000001102,formaldehyde solution,21,42,adverse reaction,intolerance,nan
441,experienced diarrhoea due to supportan drink,17236411000001109,supportan drink,29,44,adverse reaction,intolerance,nan
442,had diarrhoea due to finerenone,40634211000001108,finerenone,21,31,adverse reaction,intolerance,nan
443,experienced nausea and vomiting due to co-proxamol,18037311000001104,co-proxamol,39,50,adverse reaction,intolerance,nan
444,experienced nausea and vomiting with pemigatinib,39933711000001101,pemigatinib,37,48,adverse reaction,intolerance,nan
445,experienced nausea and vomiting due to glycerol liquid,4217811000001106,glycerol liquid,39,54,adverse reaction,intolerance,nan
446,experienced nausea and vomiting due to emicizumab,35289511000001107,emicizumab,39,49,adverse reaction,intolerance,nan
447,experienced nausea and vomiting with ornithine powder,34878511000001107,ornithine powder,37,53,adverse reaction,intolerance,nan
448,experienced nausea and vomiting due to polyethylene oxide,22373711000001100,polyethylene oxide,39,57,adverse reaction,intolerance,nan
449,had nausea and vomiting due to haloperidol decanoate,13296101000001101,haloperidol decanoate,31,52,adverse reaction,intolerance,nan
450,experienced nausea and vomiting with pipobroman,20439311000001104,pipobroman,37,47,adverse reaction,intolerance,nan
451,experienced nausea and vomiting with onasemnogene abeparvovec,39601611000001100,onasemnogene abeparvovec,37,61,adverse reaction,intolerance,nan
452,experienced nausea and vomiting due to patiromer calcium,34740111000001102,patiromer calcium,39,56,adverse reaction,intolerance,nan
453,experienced nausea and vomiting due to pneumococcal vaccine,9894911000001101,pneumococcal vaccine,39,59,adverse reaction,intolerance,nan
454,had nausea and vomiting due to ocrelizumab,35058611000001103,ocrelizumab,31,42,adverse reaction,intolerance,nan
455,experienced nausea and vomiting with exametazime,39853211000001102,exametazime,37,48,adverse reaction,intolerance,nan
456,experienced nausea and vomiting due to glucose liquid,39495011000001105,glucose liquid,39,53,adverse reaction,intolerance,nan
457,experienced nausea and vomiting due to blackcurrant syrup,5172511000001109,blackcurrant syrup,39,57,adverse reaction,intolerance,nan
458,experienced nausea and vomiting due to phenytoin sodium,36408711000001107,phenytoin sodium,39,55,adverse reaction,intolerance,nan
459,experienced nausea and vomiting with tisopurine,29685511000001101,tisopurine,37,47,adverse reaction,intolerance,nan
460,experienced nausea and vomiting with pine mistletoe,11466811000001104,pine mistletoe,37,51,adverse reaction,intolerance,nan
461,had nausea and vomiting due to herbal tablets,7565711000001106,herbal tablets,31,45,adverse reaction,intolerance,nan
462,had nausea and vomiting with lusutrombopag,37930811000001108,lusutrombopag,29,42,adverse reaction,intolerance,nan
463,had urticaria due to terizidone,38723411000001102,terizidone,21,31,adverse reaction,nan,nan
464,experienced urticaria due to talimogene laherparepvec,32455711000001105,talimogene laherparepvec,29,53,adverse reaction,nan,nan
465,had urticaria due to l-ornithine-l-aspartate,23993111000001107,l-ornithine-l-aspartate,21,44,adverse reaction,nan,nan
466,had urticaria with cenobamate,40200511000001106,cenobamate,19,29,adverse reaction,nan,nan
467,experienced urticaria due to penfluridol,27987311000001107,penfluridol,29,40,adverse reaction,nan,nan
468,experienced urticaria with trastuzumab emtansine,24002411000001100,trastuzumab emtansine,27,48,adverse reaction,nan,nan
469,experienced urticaria due to berotralstat,40227711000001107,berotralstat,29,41,adverse reaction,nan,nan
470,had urticaria with cytarabine (liposomal),13294701000001105,cytarabine,19,41,adverse reaction,nan,nan
471,had urticaria with erythromycin lactobionate,36409511000001108,erythromycin lactobionate,19,44,adverse reaction,nan,nan
472,had urticaria due to ocrelizumab,35058611000001103,ocrelizumab,21,32,adverse reaction,nan,nan
473,had urticaria with frovatriptan,36408211000001100,frovatriptan,19,31,adverse reaction,nan,nan
474,experienced urticaria due to tragacanth powder,5146211000001106,tragacanth powder,29,46,adverse reaction,nan,nan
475,had urticaria due to apple mistletoe,11466011000001105,apple mistletoe,21,36,adverse reaction,nan,nan
476,had urticaria due to hypochlorite,10047611000001107,hypochlorite,21,33,adverse reaction,nan,nan
477,had urticaria due to dl-methionine,23965611000001103,dl-methionine,21,34,adverse reaction,nan,nan
478,had urticaria due to grass pollen,10568011000001108,grass pollen,21,33,adverse reaction,nan,nan
479,had urticaria with ravulizumab,38194311000001107,ravulizumab,19,30,adverse reaction,nan,nan
480,experienced urticaria with cabozantinib,28013211000001109,cabozantinib,27,39,adverse reaction,nan,nan
481,had urticaria due to urapidil,29693111000001108,urapidil,21,29,adverse reaction,nan,nan
482,had urticaria due to co-cyprindiol,18036911000001101,co-cyprindiol,21,34,adverse reaction,nan,nan
483,had gi bleed with norethisterone acetate,10568711000001105,norethisterone acetate,18,40,adverse reaction,intolerance,severe
484,experienced gi bleed due to mycophenolate mofetil,230381000001108,mycophenolate mofetil,28,49,adverse reaction,intolerance,severe
485,had gi bleed due to guar gum,13297801000001106,guar gum,20,28,adverse reaction,intolerance,severe
486,had gi bleed with dacomitinib,37248911000001101,dacomitinib,18,29,adverse reaction,intolerance,severe
487,experienced gi bleed due to calcium ascorbate,13296501000001106,calcium ascorbate,28,45,adverse reaction,intolerance,severe
488,had gi bleed with erenumab,35809611000001100,erenumab,18,26,adverse reaction,intolerance,severe
489,experienced gi bleed with pralidoxime chloride,13551311000001108,pralidoxime chloride,26,46,adverse reaction,intolerance,severe
490,experienced gi bleed due to mangafodipir,10202011000001102,mangafodipir,28,40,adverse reaction,intolerance,severe
491,had gi bleed due to crizanlizumab,39950511000001101,crizanlizumab,20,33,adverse reaction,intolerance,severe
492,had gi bleed due to aluminium acetate,14022211000001106,aluminium acetate,20,37,adverse reaction,intolerance,severe
493,experienced gi bleed due to sucroferric oxyhydroxide,28453911000001100,sucroferric oxyhydroxide,28,52,adverse reaction,intolerance,severe
494,experienced gi bleed due to cenegermin,34813411000001105,cenegermin,28,38,adverse reaction,intolerance,severe
495,experienced gi bleed with bromhexine,24617211000001106,bromhexine,26,36,adverse reaction,intolerance,severe
496,experienced gi bleed due to polatuzumab vedotin,38221711000001102,polatuzumab vedotin,28,47,adverse reaction,intolerance,severe
497,had gi bleed due to l-ornithine-l-aspartate,23993111000001107,l-ornithine-l-aspartate,20,43,adverse reaction,intolerance,severe
498,had gi bleed due to ioflupane [i-123],39417211000001107,ioflupane [i-123],20,37,adverse reaction,intolerance,severe
499,experienced gi bleed with cranberry capsules,7597211000001109,cranberry capsules,26,44,adverse reaction,intolerance,severe
500,experienced gi bleed due to cholesterol powder,18518911000001109,cholesterol powder,28,46,adverse reaction,intolerance,severe
501,had gi bleed due to generic aquabar,7526511000001103,generic aquabar,20,35,adverse reaction,intolerance,severe
502,had gi bleed due to belladonna tincture,5146011000001101,belladonna tincture,20,39,adverse reaction,intolerance,severe
