text,cui,name,start,end,relevance,presence,laterality (generic)
several semimembranosus tendinitis,202873009,semimembranosus tendinitis,8,34,historic,confirmed,none
right atrioventricular valve atresia previously,253455004,right atrioventricular valve atresia,0,36,historic,confirmed,none
paroxysmal cold hemoglobinuria recovered,127057004,paroxysmal cold hemoglobinuria,0,30,historic,confirmed,none
several purpura fulminans,13507004,purpura fulminans,8,25,historic,confirmed,none
acute oral pseudomembraneous candidiasis recovered,235069003,acute oral pseudomembraneous candidiasis,0,40,historic,confirmed,none
never had mandibular condyle aplasia,235119009,mandibular condyle aplasia,10,36,historic,negated,none
past history spinocerebellar ataxia type 26,718769009,spinocerebellar ataxia type 26,13,43,historic,confirmed,none
prev acute gangrenous tonsillitis,195670004,acute gangrenous tonsillitis,5,33,historic,confirmed,none
4 previous acute obstructive appendicitis,4998000,acute obstructive appendicitis,11,41,historic,confirmed,none
4 previous acute pericoronitis,91863007,acute pericoronitis,11,30,historic,confirmed,none
3 prev acute phytophotodermatitis,58306008,acute phytophotodermatitis,7,33,historic,confirmed,none
mulibrey nanism syndrome last 3 mths,81604003,mulibrey nanism syndrome,0,24,historic,confirmed,none
midzonal hepatic necrosis prev,61250001,midzonal hepatic necrosis,0,25,historic,confirmed,none
previous acute viral otitis externa,232222008,acute viral otitis externa,9,35,historic,confirmed,none
no personal history of fracture of dental implant,698686003,fracture of dental implant,23,49,historic,negated,none
1 prev acute emphysematous cholecystitis,32067005,acute emphysematous cholecystitis,7,40,historic,confirmed,none
foreign accent syndrome in the past,955111000000109,foreign accent syndrome,0,23,historic,confirmed,none
no past history synovial osteochondromatosis of elbow,202578009,synovial osteochondromatosis of elbow,16,53,historic,negated,none
burn of conjuctival sac last 9 month,446856005,burn of conjuctival sac,0,23,historic,confirmed,none
no pmh talo-patello-scaphoid osteolysis syndrome,723580007,talo-patello-scaphoid osteolysis syndrome,7,48,historic,negated,none
aplasia of adrenal gland prev,702615004,aplasia of adrenal gland,0,24,historic,confirmed,none
eisenmenger's complex last 7 mths,204311009,eisenmenger's complex,0,21,historic,confirmed,none
2 prev acute myocarditis - meningococcal,194950003,acute myocarditis - meningococcal,7,40,historic,confirmed,none
"deficiency of 1,3-beta-glucan synthase some time ago",124269005,"deficiency of 1,3-beta-glucan synthase",0,38,historic,confirmed,none
intentional chlorpropamide poisoning last 7 month,291810002,intentional chlorpropamide poisoning,0,36,historic,confirmed,none
foreign body in duodenum from 54 yrs old,211634000,foreign body in duodenum,0,24,historic,confirmed,none
subpial siderosis from age 54,76896001,subpial siderosis,0,17,historic,confirmed,none
infection caused by norovirus until 63 y of age,721763002,infection caused by norovirus,0,29,historic,confirmed,none
acute irritant contact dermatitis recovered,425630003,acute irritant contact dermatitis,0,33,historic,confirmed,none
injury due to bullet few yrs ago,243000002,injury due to bullet,0,20,historic,confirmed,none
emotional deprivation syndrome in the past,39465007,emotional deprivation syndrome,0,30,historic,confirmed,none
personal history villous atrophy of intestine,75581001,villous atrophy of intestine,17,45,historic,confirmed,none
2 previous acute ulcer of skin,104231000119108,acute ulcer of skin,11,30,historic,confirmed,none
deficiency of acylphosphatase prev,124533003,deficiency of acylphosphatase,0,29,historic,confirmed,none
naso-maxillary dysostosis in the past,109400004,naso-maxillary dysostosis,0,25,historic,confirmed,none
prev hist of hyperplastic obesity,414438005,hyperplastic obesity,13,33,historic,confirmed,none
4 prev acute toxic tracheobronchitis,233799004,acute toxic tracheobronchitis,7,36,historic,confirmed,none
familial arthrogryposis-cholestatic hepatorenal syndrome recovered,62216007,familial arthrogryposis-cholestatic hepatorenal syndrome,0,56,historic,confirmed,none
acute intestinal pseudo-obstruction recovered,235826007,acute intestinal pseudo-obstruction,0,35,historic,confirmed,none
past medical hist oral dystonia,229692002,oral dystonia,18,31,historic,confirmed,none
prev hx of tracheal fistula,233778002,tracheal fistula,11,27,historic,confirmed,none
acute infective tracheobronchitis recovered,312400008,acute infective tracheobronchitis,0,33,historic,confirmed,none
pers hist of pigment cirrhosis,78208005,pigment cirrhosis,13,30,historic,confirmed,none
macular retinal edema until age 29,37231002,macular retinal edema,0,21,historic,confirmed,none
personal hx of lipoma of perineum,188999005,lipoma of perineum,15,33,historic,confirmed,none
double aortic arch last 8 month,10451007,double aortic arch,0,18,historic,confirmed,none
"1 previous drug-induced dyskinesia, acute onset",93433003,"drug-induced dyskinesia, acute onset",11,47,historic,confirmed,none
personal history traumatic joint effusion,263118005,traumatic joint effusion,17,41,historic,confirmed,none
acute intravascular thrombotic microangiopathy recovered,1144964006,acute intravascular thrombotic microangiopathy,0,46,historic,confirmed,none
prev history dysgenesis of the brainstem,253180007,dysgenesis of the brainstem,13,40,historic,confirmed,none
past history intentional pentostatin overdose,295715005,intentional pentostatin overdose,13,45,historic,confirmed,none
personal hist contusion of buccal mucosa,110257008,contusion of buccal mucosa,14,40,historic,confirmed,none
hydrocephalic disproportion previously,199425009,hydrocephalic disproportion,0,27,historic,confirmed,none
nephropathy following eclampsia few yr back,736993008,nephropathy following eclampsia,0,31,historic,confirmed,none
mis-shapen sternum from 16 yr old,205461008,mis-shapen sternum,0,18,historic,confirmed,none
no previous history of brucella spondylitis,202698007,brucella spondylitis,23,43,historic,negated,none
aleukemic leukemia in remission prev,426217000,aleukemic leukemia in remission,0,31,historic,confirmed,none
cholesteatoma pearl when aged 3,232276008,cholesteatoma pearl,0,19,historic,confirmed,none
traumatic cyst of leptomeninges until age 31,425576009,traumatic cyst of leptomeninges,0,31,historic,confirmed,none
frequent acute pulmonary edema,40541001,acute pulmonary edema,9,30,historic,confirmed,none
1 prev anaphylaxis caused by seed,441492003,anaphylaxis caused by seed,7,33,historic,confirmed,none
past hist droperidol poisoning,291152005,droperidol poisoning,10,30,historic,confirmed,none
food anaphylaxis recovered,91941002,food anaphylaxis,0,16,historic,confirmed,none
pers hx tooth sensitivity to heat,109593008,tooth sensitivity to heat,8,33,historic,confirmed,none
midzonal hepatic necrosis in the past,61250001,midzonal hepatic necrosis,0,25,historic,confirmed,none
klismaphilia while age 21,8522006,klismaphilia,0,12,historic,confirmed,none
laceration of back until 16 years old,274171001,laceration of back,0,18,historic,confirmed,none
no previous hx of ileostomy malfunction,236116005,ileostomy malfunction,18,39,historic,negated,none
past medical hx of deficiency of phosphopantothenate-cysteine ligase,124707009,deficiency of phosphopantothenate-cysteine ligase,19,68,historic,confirmed,none
no pmh of contusion of ureter,283906006,contusion of ureter,10,29,historic,negated,none
neonatal gastrointestinal disorder few yrs ago,363219007,neonatal gastrointestinal disorder,0,34,historic,confirmed,none
acute osteomyelitis of humerus recovered,203164005,acute osteomyelitis of humerus,0,30,historic,confirmed,none
temtamy preaxial brachydactyly syndrome last 11 mth,777998000,temtamy preaxial brachydactyly syndrome,0,39,historic,confirmed,none
previous hx of isochromosomy yq,770542008,isochromosomy yq,15,31,historic,confirmed,none
4 prev post-traumatic acute tubular necrosis,236427002,post-traumatic acute tubular necrosis,7,44,historic,confirmed,none
no pers hist neoplasm of renal pelvis,126881002,neoplasm of renal pelvis,13,37,historic,negated,none
no personal history post-inflammatory hyperpigmentation,238699007,post-inflammatory hyperpigmentation,20,55,historic,negated,none
no hx sindbis fever,28477001,sindbis fever,6,19,historic,negated,none
sudden cardiac death recovered,95281009,sudden cardiac death,0,20,historic,confirmed,none
symptomatic scar of skin last 10 mth,444743007,symptomatic scar of skin,0,24,historic,confirmed,none
deficiency of nucleotidyltransferase a few years ago,124406004,deficiency of nucleotidyltransferase,0,36,historic,confirmed,none
paroxysmal atrial fibrillation recovered,282825002,paroxysmal atrial fibrillation,0,30,historic,confirmed,none
blepharochalasis of bilateral eyelids upto age 21,15732841000119107,blepharochalasis of bilateral eyelids,0,37,historic,confirmed,bilateral
nicotiana tabacum poisoning prev,45571007,nicotiana tabacum poisoning,0,27,historic,confirmed,none
2 prev tendinitis of bilateral elbows,16052271000119102,tendinitis of bilateral elbows,7,37,historic,confirmed,bilateral
illegal abortion with uremia a few years prev,54155004,illegal abortion with uremia,0,28,historic,confirmed,none
past history thin basement membrane disease,236418003,thin basement membrane disease,13,43,historic,confirmed,none
no past hist bacterial meningomyelitis,444957003,bacterial meningomyelitis,13,38,historic,negated,none
not had intrahepatic biliary atresia,253807009,intrahepatic biliary atresia,8,36,historic,negated,none
acute ascending myelitis recovered,8528005,acute ascending myelitis,0,24,historic,confirmed,none
acute lymphangitis of knee prev,31412003,acute lymphangitis of knee,0,26,historic,confirmed,none
prev hx sebaceous gland duct dilatation,123637000,sebaceous gland duct dilatation,8,39,historic,confirmed,none
had localized severe acute periodontitis,715860003,localized severe acute periodontitis,4,40,historic,confirmed,none
anti-polysaccharide antibody deficiency last 6 months,234557006,anti-polysaccharide antibody deficiency,0,39,historic,confirmed,none
1 previous impending shock,414469009,impending shock,11,26,historic,confirmed,none
previous early radiation dermatitis,22434008,early radiation dermatitis,9,35,historic,confirmed,none
1 previous acute heart failure,56675007,acute heart failure,11,30,historic,confirmed,none
no past hist of recurrent dislocation of hand,10464008,recurrent dislocation of hand,16,45,historic,negated,none
infestation caused by xenopsylla prev,39907005,infestation caused by xenopsylla,0,32,historic,confirmed,none
no previous hist bone fixation device infection,240272004,bone fixation device infection,17,47,historic,negated,none
foreign body in orifice last 7 mths,211616004,foreign body in orifice,0,23,historic,confirmed,none
not had ectopic anus,5153001,ectopic anus,8,20,historic,negated,none
past hx secondary adenocarcinoma of pleura,91191000119108,secondary adenocarcinoma of pleura,8,42,historic,confirmed,none
karwinskia humboldtiana poisoning until 14 y of age,64399000,karwinskia humboldtiana poisoning,0,33,historic,confirmed,none
multiple squamous cell carcinomata few years previously,403905005,multiple squamous cell carcinomata,0,34,historic,confirmed,none
intentional clonidine poisoning last 2 mths,291314003,intentional clonidine poisoning,0,31,historic,confirmed,none
atheroma of cerebral arteries some time back,111299004,atheroma of cerebral arteries,0,29,historic,confirmed,none
lumbosacral stenosis last 6 months,370471003,lumbosacral stenosis,0,20,historic,confirmed,none
acute diastolic heart failure recovered,443343001,acute diastolic heart failure,0,29,historic,confirmed,none
1 prev acute lichenoid pityriasis,86487001,acute lichenoid pityriasis,7,33,historic,confirmed,none
intentional benzocaine overdose at aged 46,295573007,intentional benzocaine overdose,0,31,historic,confirmed,none
traumatic hemopericardium upto 28 years of age,233888009,traumatic hemopericardium,0,25,historic,confirmed,none
stenosis of colon until 19 y old,19132000,stenosis of colon,0,17,historic,confirmed,none
congenital absence of tendon last 4 mths,271018002,congenital absence of tendon,0,28,historic,confirmed,none
3 prev food anaphylaxis,91941002,food anaphylaxis,7,23,historic,confirmed,none
congenital absence of ileum when 12 yr old,204697003,congenital absence of ileum,0,27,historic,confirmed,none
1 prev acute on chronic sialoadenitis,702714007,acute on chronic sialoadenitis,7,37,historic,confirmed,none
3 previous acute widespread myocardial infarction,233835003,acute widespread myocardial infarction,11,49,historic,confirmed,none
mixed asthma previously,195977004,mixed asthma,0,12,historic,confirmed,none
no pmh acquired phimosis,266571009,acquired phimosis,7,24,historic,negated,none
prev history radiation nephritis,7725007,radiation nephritis,13,32,historic,confirmed,none
tonsillitis in the past,90176007,tonsillitis,0,11,historic,confirmed,none
no ph of paroophoron,279922007,paroophoron,9,20,historic,negated,none
freq nonsustained paroxysmal ventricular tachycardia,21421000119109,nonsustained paroxysmal ventricular tachycardia,5,52,historic,confirmed,none
freq acute fibrinous bronchitis,195714005,acute fibrinous bronchitis,5,31,historic,confirmed,none
uncomplicated ptosis at age 34,246824000,uncomplicated ptosis,0,20,historic,confirmed,none
primary syphilis of nipple last 7 mth,237447001,primary syphilis of nipple,0,26,historic,confirmed,none
bone cyst of hand last 11 month,767850009,bone cyst of hand,0,17,historic,confirmed,none
chronic mastitis last 12 months,21648003,chronic mastitis,0,16,historic,confirmed,none
pers history of severe combined immunodeficiency disease,31323000,severe combined immunodeficiency disease,16,56,historic,confirmed,none
no previous history of neoplasm of skin,126488004,neoplasm of skin,23,39,historic,negated,none
california serogroup viral meningitis last 8 months,404239005,california serogroup viral meningitis,0,37,historic,confirmed,none
no previous hist accidental etodolac poisoning,290239003,accidental etodolac poisoning,17,46,historic,negated,none
bouffée délirante recovered,63204009,bouffée délirante,0,17,historic,confirmed,none
past history acute disease of bone,127336002,acute disease of bone,13,34,historic,confirmed,none
prev hx of meningitis,7180009,meningitis,11,21,historic,confirmed,none
"no pmh of traumatic amputation, through hip",210762009,"traumatic amputation, through hip",10,43,historic,negated,none
pneumoconiosis caused by silica prev,805002,pneumoconiosis caused by silica,0,31,historic,confirmed,none
neoplasm of gum from 22 y old,126792007,neoplasm of gum,0,15,historic,confirmed,none
1 previous acute infective balanitis,403464001,acute infective balanitis,11,36,historic,confirmed,none
sprain of sacrospinous ligament a few years back,871492003,sprain of sacrospinous ligament,0,31,historic,confirmed,none
open wound of vagina in the past,210448003,open wound of vagina,0,20,historic,confirmed,none
previously acute infective balanitis,403464001,acute infective balanitis,11,36,historic,confirmed,none
abuse of steroids in the past,231458000,abuse of steroids,0,17,historic,confirmed,none
no previous history of macronodular cirrhosis,43904005,macronodular cirrhosis,23,45,historic,negated,none
prev hx of syphilitic prostatitis,197966009,syphilitic prostatitis,11,33,historic,confirmed,none
never had idiopathic transverse myelitis,425756000,idiopathic transverse myelitis,10,40,historic,negated,none
no hist of drug-induced angioedema-urticaria,846758008,drug-induced angioedema-urticaria,11,44,historic,negated,none
secondary fibromyalgia upto 64 yrs of age,957311000000101,secondary fibromyalgia,0,22,historic,confirmed,none
laryngeal cleft type i until 56 yr o,306949002,laryngeal cleft type i,0,22,historic,confirmed,none
prev noma neonatorum,870353004,noma neonatorum,5,20,historic,confirmed,none
previous history lichen striatus,42442001,lichen striatus,17,32,historic,confirmed,none
benign chondroblastoma of bone until aged 27,101391000119100,benign chondroblastoma of bone,0,30,historic,confirmed,none
acute timorian filariasis few yrs previously,240831009,acute timorian filariasis,0,25,historic,confirmed,none
2 previous transient lingual papillitis,710003004,transient lingual papillitis,11,39,historic,confirmed,none
no pers hist chronic sclerosing sialadenitis,448131008,chronic sclerosing sialadenitis,13,44,historic,negated,none
past hist of osteoporotic fracture of scapula,704337003,osteoporotic fracture of scapula,13,45,historic,confirmed,none
freq acute persistent otitis media,84261000119106,acute persistent otitis media,5,34,historic,confirmed,none
interstitial glossitis upto aged 51,449773001,interstitial glossitis,0,22,historic,confirmed,none
had sunburn of third degree,200835003,sunburn of third degree,4,27,historic,confirmed,none
no previous hx of familial isolated hypoparathyroidism,725036000,familial isolated hypoparathyroidism,18,54,historic,negated,none
female pseudohermaphroditism last 2 mth,8800006,female pseudohermaphroditism,0,28,historic,confirmed,none
spontaneous dislocation of lens a few years prev,231979008,spontaneous dislocation of lens,0,31,historic,confirmed,none
acute infective adenoiditis recovered,445130008,acute infective adenoiditis,0,27,historic,confirmed,none
4 previous hemorrhagic shock,355001,hemorrhagic shock,11,28,historic,confirmed,none
no previous history of lower limb ischemia,233961000,lower limb ischemia,23,42,historic,negated,none
hereditary cerebellar degeneration in the past,37650008,hereditary cerebellar degeneration,0,34,historic,confirmed,none
no pmh of staphylococcal infectious disease,56038003,staphylococcal infectious disease,10,43,historic,negated,none
2 prev acute mesenteric arterial occlusion,243286001,acute mesenteric arterial occlusion,7,42,historic,confirmed,none
acute infection of pinna recovered,56663002,acute infection of pinna,0,24,historic,confirmed,none
acute osteomyelitis of sacrum recovered,203160001,acute osteomyelitis of sacrum,0,29,historic,confirmed,none
freq anaphylaxis caused by fish,427903006,anaphylaxis caused by fish,5,31,historic,confirmed,none
paroxysmal ventricular tachycardia recovered,66657009,paroxysmal ventricular tachycardia,0,34,historic,confirmed,none
prev transitory neonatal hypoparathyroidism,31615009,transitory neonatal hypoparathyroidism,5,43,historic,confirmed,none
corneal non-healing epithelial ulcer at 57 yrs old,95727005,corneal non-healing epithelial ulcer,0,36,historic,confirmed,none
past hist contusion female perineum,283968005,contusion female perineum,10,35,historic,confirmed,none
hemothorax due to trauma until 64 yr old,42458003,hemothorax due to trauma,0,24,historic,confirmed,none
intentional tolbutamide overdose few yrs ago,296870006,intentional tolbutamide overdose,0,32,historic,confirmed,none
pers hist incomitant hypophoria,246754001,incomitant hypophoria,10,31,historic,confirmed,none
herpes zoster scleritis last 8 months,1087131000119102,herpes zoster scleritis,0,23,historic,confirmed,none
localized pityriasis alba previously,402297008,localized pityriasis alba,0,25,historic,confirmed,none
cellulitis of axilla while aged 62,19457002,cellulitis of axilla,0,20,historic,confirmed,none
4 prev acute angle-closure glaucoma,30041005,acute angle-closure glaucoma,7,35,historic,confirmed,none
bronchial anastomotic edema at aged 35,233808007,bronchial anastomotic edema,0,27,historic,confirmed,none
never had neonatal cardiovascular disorder,363696006,neonatal cardiovascular disorder,10,42,historic,negated,none
fracture malunion - shoulder until age 33,287073003,fracture malunion - shoulder,0,28,historic,confirmed,none
past hx cerebral loiasis,240845003,cerebral loiasis,8,24,historic,confirmed,none
abscess of wrist last 9 month,36281004,abscess of wrist,0,16,historic,confirmed,none
no previous history hoyeraal-hreidarsson syndrome,707276009,hoyeraal-hreidarsson syndrome,20,49,historic,negated,none
2 prev acute pure sensory neuropathy,783244002,acute pure sensory neuropathy,7,36,historic,confirmed,none
injection site burning prev,95389008,injection site burning,0,22,historic,confirmed,none
agenesis of radius few years back,1003549007,agenesis of radius,0,18,historic,confirmed,none
thunderstorm asthma recovered,829976001,thunderstorm asthma,0,19,historic,confirmed,none
chronic sclerosing nonsuppurative osteomyelitis last 7 mth,75886002,chronic sclerosing nonsuppurative osteomyelitis,0,47,historic,confirmed,none
no ph of calcaneal petechiae,21143006,calcaneal petechiae,9,28,historic,negated,none
self-inflicted trauma involving penis upto aged 35,403474003,self-inflicted trauma involving penis,0,37,historic,confirmed,none
functional cyst of ovary few yr prev,116341001,functional cyst of ovary,0,24,historic,confirmed,none
personal hx of adrenal gland hematoma,262832002,adrenal gland hematoma,15,37,historic,confirmed,none
1 previous acute erosion of duodenum,39344002,acute erosion of duodenum,11,36,historic,confirmed,none
hereditary hypermelanosis in the past,403804008,hereditary hypermelanosis,0,25,historic,confirmed,none
no pmh of herpetic vulvovaginitis,27420004,herpetic vulvovaginitis,10,33,historic,negated,none
4 previous rabies - hydrophobia,266196000,rabies - hydrophobia,11,31,historic,confirmed,none
previous acute oral atrophic candidiasis,235070002,acute oral atrophic candidiasis,9,40,historic,confirmed,none
no previous hist of meptazinol adverse reaction,292066001,meptazinol adverse reaction,20,47,historic,negated,none
accidental beclamide overdose previously,295962006,accidental beclamide overdose,0,29,historic,confirmed,none
previously acute osteomyelitis of calcaneum,203174008,acute osteomyelitis of calcaneum,11,43,historic,confirmed,none
several acute hypokalemia,61120003,acute hypokalemia,8,25,historic,confirmed,none
apocrine adenoma few yr ago,307596009,apocrine adenoma,0,16,historic,confirmed,none
not had prolonged depressive adjustment reaction,192049004,prolonged depressive adjustment reaction,8,48,historic,negated,none
decay accelerating factor deficiency when age 42,234624002,decay accelerating factor deficiency,0,36,historic,confirmed,none
no prev history of transient hypothyroxinemia,276629001,transient hypothyroxinemia,19,45,historic,negated,none
no pmh reducible umbilical hernia,301008003,reducible umbilical hernia,7,33,historic,negated,none
4 prev localized slight acute periodontitis,715843008,localized slight acute periodontitis,7,43,historic,confirmed,none
past hx accidental somatropin poisoning,1149469007,accidental somatropin poisoning,8,39,historic,confirmed,none
no previous hist disorder of blood gas,238157005,disorder of blood gas,17,38,historic,negated,none
several acute silicosis,233760007,acute silicosis,8,23,historic,confirmed,none
past medical history medullary nephrocalcinosis,236447005,medullary nephrocalcinosis,21,47,historic,confirmed,none
impending macular hole prev,312701008,impending macular hole,0,22,historic,confirmed,none
no hx scombroid fish poisoning,83227006,scombroid fish poisoning,6,30,historic,negated,none
not had erythrodermic atopic dermatitis,238544008,erythrodermic atopic dermatitis,8,39,historic,negated,none
no hist of peptic anastomotic ulcer,717863000,peptic anastomotic ulcer,11,35,historic,negated,none
no pmh congenital corneal opacity,268160006,congenital corneal opacity,7,33,historic,negated,none
recurrent acute gastrointestinal hemorrhage,27719009,acute gastrointestinal hemorrhage,10,43,historic,confirmed,none
late amputation stump complication at 68 years of age,30401009,late amputation stump complication,0,34,historic,confirmed,none
acute on chronic sialoadenitis recovered,702714007,acute on chronic sialoadenitis,0,30,historic,confirmed,none
past medical hist manifest-latent nystagmus,285765003,manifest-latent nystagmus,18,43,historic,confirmed,none
postgastrectomy phytobezoar when 43 years of age,755004,postgastrectomy phytobezoar,0,27,historic,confirmed,none
no prev hx disorder of vitamin d,386068004,disorder of vitamin d,11,32,historic,negated,none
no personal hist somatoform pain disorder,30077003,somatoform pain disorder,17,41,historic,negated,none
common femoral artery occlusion few yr ago,312828005,common femoral artery occlusion,0,31,historic,confirmed,none
several acute papillary necrosis,270494003,acute papillary necrosis,8,32,historic,confirmed,none
orphenadrine citrate adverse reaction until 49 years o,292544004,orphenadrine citrate adverse reaction,0,37,historic,confirmed,none
cushing ulcer of esophagus recovered,738792004,cushing ulcer of esophagus,0,26,historic,confirmed,none
1 previous cushing ulcer of duodenum,235689001,cushing ulcer of duodenum,11,36,historic,confirmed,none
no personal hist of anal skin tag,195469007,anal skin tag,20,33,historic,negated,none
not had angiosarcoma of skin,254794007,angiosarcoma of skin,8,28,historic,negated,none
acute on chronic prostatitis recovered,702715008,acute on chronic prostatitis,0,28,historic,confirmed,none
freq venezuelan hemorrhagic fever,359673001,venezuelan hemorrhagic fever,5,33,historic,confirmed,none
no pmh congenital hypertrichosis lanuginosa,403799003,congenital hypertrichosis lanuginosa,7,43,historic,negated,none
personal history brachydactyly,43476002,brachydactyly,17,30,historic,confirmed,none
no pmh of fracture of mandible,263172003,fracture of mandible,10,30,historic,negated,none
previously familial arthrogryposis-cholestatic hepatorenal syndrome,62216007,familial arthrogryposis-cholestatic hepatorenal syndrome,11,67,historic,confirmed,none
fracture of bone last 7 months,125605004,fracture of bone,0,16,historic,confirmed,none
not had injury of intercostal artery,188001,injury of intercostal artery,8,36,historic,negated,none
no personal hx acromicric dysplasia,254090007,acromicric dysplasia,15,35,historic,negated,none
left ventricular diverticulum last 9 month,445540004,left ventricular diverticulum,0,29,historic,confirmed,none
epidermoid cyst until 49 yrs old,419893006,epidermoid cyst,0,15,historic,confirmed,none
"no pers hx of hirschsprung disease, ganglioneuroblastoma syndrome",783737007,"hirschsprung disease, ganglioneuroblastoma syndrome",14,65,historic,negated,none
repetitive intrusions of sleep from 65 y of age,268654005,repetitive intrusions of sleep,0,30,historic,confirmed,none
gallstone acute pancreatitis upto age 5,235941008,gallstone acute pancreatitis,0,28,historic,confirmed,none
primaquine sensitivity anemia prev,863953007,primaquine sensitivity anemia,0,29,historic,confirmed,none
dog bite of thigh prev,283770008,dog bite of thigh,0,17,historic,confirmed,none
3 previous acute oral atrophic candidiasis,235070002,acute oral atrophic candidiasis,11,42,historic,confirmed,none
infection caused by absidia at 69 y of age,6298007,infection caused by absidia,0,27,historic,confirmed,none
no pmh eosinophilic ulcer of esophagus,235608007,eosinophilic ulcer of esophagus,7,38,historic,negated,none
generalized benign joint hypermobility previously,240261009,generalized benign joint hypermobility,0,38,historic,confirmed,none
isosorbide mononitrate adverse reaction when 59 yr old,293552005,isosorbide mononitrate adverse reaction,0,39,historic,confirmed,none
focal chorioretinitis while 9 y o,15847003,focal chorioretinitis,0,21,historic,confirmed,none
"not had erythema multiforme, epidermal type",73658009,"erythema multiforme, epidermal type",8,43,historic,negated,none
freq acute perforated appendicitis,286967008,acute perforated appendicitis,5,34,historic,confirmed,none
past hist parasomnia caused by alcohol,135301000119103,parasomnia caused by alcohol,10,38,historic,confirmed,none
no pers hx regular insulin adverse reaction,833317005,regular insulin adverse reaction,11,43,historic,negated,none
not had congenital longitudinal septate vagina,142201000119101,congenital longitudinal septate vagina,8,46,historic,negated,none
no personal hist congenital sensorineural hearing loss,700453005,congenital sensorineural hearing loss,17,54,historic,negated,none
disorder of threonine metabolism at 66 yr of age,190722000,disorder of threonine metabolism,0,32,historic,confirmed,none
neonatal dacryocystitis last 3 month,23735003,neonatal dacryocystitis,0,23,historic,confirmed,none
maybe strangulated femoral hernia,236030003,strangulated femoral hernia,6,33,present,suspected,none
suspicion of fahr's syndrome,110997000,fahr's syndrome,13,28,present,suspected,none
could be oculogastrointestinal muscular dystrophy,722060007,oculogastrointestinal muscular dystrophy,9,49,present,suspected,none
suspicious narrow gingival width,109615006,narrow gingival width,11,32,present,suspected,none
? fracture of zygomatic process,263165004,fracture of zygomatic process,2,31,present,suspected,none
leakage from tenckhoff catheter suspected,473112005,leakage from tenckhoff catheter,0,31,present,suspected,none
possible massive gastrointestinal bleed,307297004,massive gastrointestinal bleed,9,39,present,suspected,none
suspected poisoning caused by psychodysleptic,85975005,poisoning caused by psychodysleptic,10,45,present,suspected,none
query cellulitis of left hip,10629871000119108,cellulitis of left hip,6,28,present,suspected,left
suspected secondary chronic nephritis,40391000119106,secondary chronic nephritis,10,37,present,suspected,none
exclude 11p15 duplication syndrome,880079009,11p15 duplication syndrome,8,34,present,suspected,none
suspected fredrickson type iia hyperlipoproteinemia,397915002,fredrickson type iia hyperlipoproteinemia,10,51,present,suspected,none
maybe proximal interphalangeal joint symphalangism,205280007,proximal interphalangeal joint symphalangism,6,50,present,suspected,none
could have mycetoma,410039003,mycetoma,11,19,present,suspected,none
could have furuncle of axilla,60198007,furuncle of axilla,11,29,present,suspected,none
neoplasm of upper limb suspected,126650009,neoplasm of upper limb,0,22,present,suspected,none
may periodontitis co-occurrent with hypophosphatasia,709556009,periodontitis co-occurrent with hypophosphatasia,4,52,present,suspected,none
deep transverse arrest suspected,1343000,deep transverse arrest,0,22,present,suspected,none
? poisoning caused by furosemide,28389000,poisoning caused by furosemide,2,32,present,suspected,none
welders' keratitis suspected,3282008,welders' keratitis,0,18,present,suspected,none
probably hematoma of jejunum,282054009,hematoma of jejunum,9,28,present,suspected,none
poss adult spinal muscular atrophy,85505000,adult spinal muscular atrophy,5,34,present,suspected,none
suspected burn of right foot,12103791000119100,burn of right foot,10,28,present,suspected,right
could be conjunctivitis caused by acanthamoeba,840484006,conjunctivitis caused by acanthamoeba,9,46,present,suspected,none
suspected adhesive arachnoiditis,13980006,adhesive arachnoiditis,10,32,present,suspected,none
quer left atrial appendage aneurysm,253358003,left atrial appendage aneurysm,5,35,present,suspected,none
likely secondary corneal edema,27536004,secondary corneal edema,7,30,present,suspected,none
quer familial erythrocytosis,17342003,familial erythrocytosis,5,28,present,suspected,none
maybe calcinosis,6595006,calcinosis,6,16,present,suspected,none
? accidental ceftizoxime overdose,296718004,accidental ceftizoxime overdose,2,33,present,suspected,none
suspicion of fibroma of tendon sheath,403992002,fibroma of tendon sheath,13,37,present,suspected,none
may subjective pulsatile tinnitus,117421000119104,subjective pulsatile tinnitus,4,33,present,suspected,none
sus sex phenotype-karyotype dissociation syndrome,36114005,sex phenotype-karyotype dissociation syndrome,4,49,present,suspected,none
sus stab wound of knee,283484002,stab wound of knee,4,22,present,suspected,none
may gonococcal bartholinitis,402957000,gonococcal bartholinitis,4,28,present,suspected,none
prob lichen sclerosus of anus,782666006,lichen sclerosus of anus,5,29,present,suspected,none
"pos malignant ventriculitis, brain",230160004,"malignant ventriculitis, brain",4,34,present,suspected,none
susp primary female infertility,5084002,primary female infertility,5,31,present,suspected,none
pos infection caused by cylicostephanus,111929003,infection caused by cylicostephanus,4,39,present,suspected,none
probable gamolenic acid adverse reaction,292664004,gamolenic acid adverse reaction,9,40,present,suspected,none
poss open wound of abdomen,733371004,open wound of abdomen,5,26,present,suspected,none
query polyneuritis,76886005,polyneuritis,6,18,present,suspected,none
may midline apex of heart,446909006,midline apex of heart,4,25,present,suspected,none
possible anterior corneal pigmentation,18377001,anterior corneal pigmentation,9,38,present,suspected,none
