text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
{p animal bite of calf} prev,283829002 | Animal bite of calf (disorder),Historic,Confirmed,No laterality
no pers hx {p nevus spilus},398660000 | Nevus spilus (disorder),Historic,Negated,No laterality
past medical history {p dog bite of throat},283746009 | Dog bite of throat (disorder),Historic,Confirmed,No laterality
{p acute central serous chorioretinopathy} recovered,312947009 | Acute central serous chorioretinopathy (disorder),Historic,Confirmed,No laterality
{p autosomal dominant omodysplasia} previously,725165009 | Autosomal dominant omodysplasia (disorder),Historic,Confirmed,No laterality
pers hx of {p torasemide adverse reaction},293467006 | Torasemide adverse reaction (disorder),Historic,Confirmed,No laterality
personal history of {p family equisetaceae poisoning},123907006 | Family equisetaceae poisoning (disorder),Historic,Confirmed,No laterality
no pers hist of {p neoplasm of trochlear nerve},126970001 | Neoplasm of trochlear nerve (disorder),Historic,Negated,No laterality
{p post-traumatic acute tubular necrosis} recovered,236427002 | Post-traumatic acute tubular necrosis (disorder),Historic,Confirmed,No laterality
past medical history of {p intentional amoxapine overdose},295841009 | Intentional amoxapine overdose (disorder),Historic,Confirmed,No laterality
no previous history {p overriding toe},203541003 | Overriding toe (disorder),Historic,Negated,No laterality
no pers history of {p trilostane overdose},295773005 | Trilostane overdose (disorder),Historic,Negated,No laterality
previously {p acute left-sided heart failure},364006 | Acute left-sided heart failure (disorder),Historic,Confirmed,No laterality
{p esophagostomy malfunction} previously,1086831000119106 | Esophagostomy malfunction (disorder),Historic,Confirmed,No laterality
{p subacute vaginitis} last 1 month,10736351000119105 | Subacute vaginitis (disorder),Historic,Confirmed,No laterality
2 previous {p familial hemolytic uremic syndrome},722721004 | Familial hemolytic uremic syndrome (disorder),Historic,Confirmed,No laterality
1 previous {p acute fulminating viral hepatitis},45042004 | Acute fulminating viral hepatitis (disorder),Historic,Confirmed,No laterality
no prev history {p burkitt's lymphoma of spleen},188516007 | Burkitt's lymphoma of spleen (disorder),Historic,Negated,No laterality
2 prev {p acute motor axonal neuropathy},715770009 | Acute motor axonal neuropathy (disorder),Historic,Confirmed,No laterality
{p acute nephritis} recovered,61503006 | Acute nephritis (disorder),Historic,Confirmed,No laterality
{p corticotrophic hormone overdose} last 5 months,296920007 | Corticotrophic hormone overdose (disorder),Historic,Confirmed,No laterality
{p not getting enough sleep} until 44 y old,248256006 | Not getting enough sleep (disorder),Historic,Confirmed,No laterality
{p accidental omeprazole overdose} in the past,295373008 | Accidental omeprazole overdose (disorder),Historic,Confirmed,No laterality
previous history {p intraosseous lipoma},699538007 | Intraosseous lipoma (disorder),Historic,Confirmed,No laterality
{p acute hepatitis - non-infective} recovered,197271008 | Acute hepatitis - non-infective (disorder),Historic,Confirmed,No laterality
"{p abrasion, back} few yr prev","211042000 | Abrasion, back (disorder)",Historic,Confirmed,No laterality
{p cut of throat} in the past,283408001 | Cut of throat (disorder),Historic,Confirmed,No laterality
frequent {p acute tubotympanic catarrh},85108007 | Acute tubotympanic catarrh (disorder),Historic,Confirmed,No laterality
{p membranous pregnancy} upto 48 yrs of age,198624007 | Membranous pregnancy (disorder),Historic,Confirmed,No laterality
no hist of {p gower's panatrophy},238844000 | Gower's panatrophy (disorder),Historic,Negated,No laterality
{p epidermal burn of wrist} last 4 mths,56710004 | Epidermal burn of wrist (disorder),Historic,Confirmed,No laterality
{p acute pulmonary histoplasmosis} recovered,58524006 | Acute pulmonary histoplasmosis (disorder),Historic,Confirmed,No laterality
{p congenital ridge ear} few years prev,204258003 | Congenital ridge ear (disorder),Historic,Confirmed,No laterality
{p general anesthetic drug poisoning} last 3 month,290486002 | General anesthetic drug poisoning (disorder),Historic,Confirmed,No laterality
had {p tendinitis of left elbow},12241111000119104 | Tendinitis of left elbow (disorder),Historic,Confirmed,Left
no previous hx of {p spelters' fever},15908004 | Spelters' fever (disorder),Historic,Negated,No laterality
{p bleeding from tonsillar bed} last 6 month,249423002 | Bleeding from tonsillar bed (disorder),Historic,Confirmed,No laterality
{p amyloid polyneuropathy type i} from 2 years o,398229007 | Amyloid polyneuropathy type I (disorder),Historic,Confirmed,No laterality
{p accidental chloral hydrate overdose} prev,296137004 | Accidental chloral hydrate overdose (disorder),Historic,Confirmed,No laterality
{p excoriation of anal skin} a few years ago,300935003 | Excoriation of anal skin (disorder),Historic,Confirmed,No laterality
several {p acute vesicular dermatitis},74207008 | Acute vesicular dermatitis (disorder),Historic,Confirmed,No laterality
no personal history of {p ammonium sulfamate toxicity},111780007 | Ammonium sulfamate toxicity (disorder),Historic,Negated,No laterality
no ph of {p antepartum deep phlebothrombosis},49956009 | Antepartum deep phlebothrombosis (disorder),Historic,Negated,No laterality
{p stuporous depression} while 21 y old,79842004 | Stuporous depression (disorder),Historic,Confirmed,No laterality
past history {p infection caused by thysaniezia},6207008 | Infection caused by Thysaniezia (disorder),Historic,Confirmed,No laterality
{p compression of esophagus} last 8 mth,39392002 | Compression of esophagus (disorder),Historic,Confirmed,No laterality
no past hx of {p spondylitis},84172003 | Spondylitis (disorder),Historic,Negated,No laterality
{p laceration of prostate} some time back,283930008 | Laceration of prostate (disorder),Historic,Confirmed,No laterality
{p tracheal intubation morbidity} few years prev,398080000 | Tracheal intubation morbidity (disorder),Historic,Confirmed,No laterality
no pers history {p muscular dystrophy selcen type},723407009 | Muscular dystrophy Selcen type (disorder),Historic,Negated,No laterality
{p tuberculous erythema nodosum} upto aged 67,74610006 | Tuberculous erythema nodosum (disorder),Historic,Confirmed,No laterality
{p acute infantile eczema} recovered,11011007 | Acute infantile eczema (disorder),Historic,Confirmed,No laterality
{p catu virus disease} in the past,89805002 | Catu virus disease (disorder),Historic,Confirmed,No laterality
{p rheumatic heart valve regurgitation} until age 64,43121002 | Rheumatic heart valve regurgitation (disorder),Historic,Confirmed,No laterality
no ph of {p factor xii deficiency disease},46981006 | Factor XII deficiency disease (disorder),Historic,Negated,No laterality
no pers history {p cystic fibroadenosis of breast},6740003 | Cystic fibroadenosis of breast (disorder),Historic,Negated,No laterality
{p prosthetic tricuspid valve failure} from aged 36,703287002 | Prosthetic tricuspid valve failure (disorder),Historic,Confirmed,No laterality
past hx of {p recurrent subluxation of elbow},202223004 | Recurrent subluxation of elbow (disorder),Historic,Confirmed,No laterality
{p transfer injury} last 7 mths,706889000 | Transfer injury (disorder),Historic,Confirmed,No laterality
recurrent {p postprocedural septic shock},12266551000119108 | Postprocedural septic shock (disorder),Historic,Confirmed,No laterality
no pmh {p idiopathic chronic tubulointerstitial nephritis},82112005 | Idiopathic chronic tubulointerstitial nephritis (disorder),Historic,Negated,No laterality
{p transient neonatal neutropenia} recovered,55444004 | Transient neonatal neutropenia (disorder),Historic,Confirmed,No laterality
{p acquired buried penis} upto age 61,236756001 | Acquired buried penis (disorder),Historic,Confirmed,No laterality
{p primary sclerosing cholangitis} few yrs back,197441003 | Primary sclerosing cholangitis (disorder),Historic,Confirmed,No laterality
2 prev {p acute osteomyelitis of ankle},240143007 | Acute osteomyelitis of ankle (disorder),Historic,Confirmed,No laterality
past hist of {p osteosarcoma of bone},307576001 | Osteosarcoma of bone (disorder),Historic,Confirmed,No laterality
{p bacterial arthritis of hip} few years back,431606003 | Bacterial arthritis of hip (disorder),Historic,Confirmed,No laterality
never had {p ganglioneuroma of mediastinum},424631008 | Ganglioneuroma of mediastinum (disorder),Historic,Negated,No laterality
3 previous {p acute lymphangitis of buttock},84724007 | Acute lymphangitis of buttock (disorder),Historic,Confirmed,No laterality
not had {p gronblad-strandberg syndrome},72744008 | Gronblad-Strandberg syndrome (disorder),Historic,Negated,No laterality
prev {p anaphylaxis caused by substance},417516000 | Anaphylaxis caused by substance (disorder),Historic,Confirmed,No laterality
{p stomatocytosis} last 1 months,3272007 | Stomatocytosis (disorder),Historic,Confirmed,No laterality
{p enteropathy-associated t-cell lymphoma} last 10 mth,277654008 | Enteropathy-associated T-cell lymphoma (disorder),Historic,Confirmed,No laterality
{p sudden idiopathic hearing loss} recovered,724636005 | Sudden idiopathic hearing loss (disorder),Historic,Confirmed,No laterality
{p fracture of trachea} few yr ago,262680002 | Fracture of trachea (disorder),Historic,Confirmed,No laterality
{p cataract in systemic disorders} in the past,231970007 | Cataract in systemic disorders (disorder),Historic,Confirmed,No laterality
no ph of {p primary stereotypy},722975002 | Primary stereotypy (disorder),Historic,Negated,No laterality
prev {p perinatal transient vaginal bleeding},206422009 | Perinatal transient vaginal bleeding (disorder),Historic,Confirmed,No laterality
{p acute chemical otitis externa} recovered,79150005 | Acute chemical otitis externa (disorder),Historic,Confirmed,No laterality
2 prev {p acute poliomyelitis},398102009 | Acute poliomyelitis (disorder),Historic,Confirmed,No laterality
no previous hx of {p tuberculous ascites},4501007 | Tuberculous ascites (disorder),Historic,Negated,No laterality
{p chondromalacia of left patella} from aged 24,303861000119106 | Chondromalacia of left patella (disorder),Historic,Confirmed,Left
{p uterus acollis} from age 31,41452004 | Uterus acollis (disorder),Historic,Confirmed,No laterality
personal hist {p sporadic primary pulmonary hypertension},233943009 | Sporadic primary pulmonary hypertension (disorder),Historic,Confirmed,No laterality
{p closed injury of lung} last 5 months,210067009 | Closed injury of lung (disorder),Historic,Confirmed,No laterality
prev history of {p acquired hemoglobinopathy},127039000 | Acquired hemoglobinopathy (disorder),Historic,Confirmed,No laterality
past medical history {p ossicular ankylosis},232264008 | Ossicular ankylosis (disorder),Historic,Confirmed,No laterality
no past hx {p denture stomatitis},69254008 | Denture stomatitis (disorder),Historic,Negated,No laterality
prev hx {p non-familial hemiplegic migraine},230464001 | Non-familial hemiplegic migraine (disorder),Historic,Confirmed,No laterality
{p acute viral tubulointerstitial nephritis} recovered,27810000 | Acute viral tubulointerstitial nephritis (disorder),Historic,Confirmed,No laterality
"{p abrasion of shoulder, infected} last 8 month","211197008 | Abrasion of shoulder, infected (disorder)",Historic,Confirmed,No laterality
{p encephalitis} from age 65,45170000 | Encephalitis (disorder),Historic,Confirmed,No laterality
3 prev {p stress ulcer of stomach},415624002 | Stress ulcer of stomach (disorder),Historic,Confirmed,No laterality
{p benign paroxysmal positional vertigo} recovered,111541001 | Benign paroxysmal positional vertigo (disorder),Historic,Confirmed,No laterality
{p tumor of tympanic antrum} prev,254471005 | Tumor of tympanic antrum (disorder),Historic,Confirmed,No laterality
{p spinal cord rupture} upto 26 yrs of age,277326006 | Spinal cord rupture (disorder),Historic,Confirmed,No laterality
pers hist {p migraine aura without headache},230465000 | Migraine aura without headache (disorder),Historic,Confirmed,No laterality
1 prev {p acute bacterial tubulointerstitial nephritis},22352007 | Acute bacterial tubulointerstitial nephritis (disorder),Historic,Confirmed,No laterality
no ph of {p umbilical hemorrhage after birth},82986004 | Umbilical hemorrhage after birth (disorder),Historic,Negated,No laterality
{p systemic mycosis} few yrs back,399314004 | Systemic mycosis (disorder),Historic,Confirmed,No laterality
no hx of {p false bladder diverticulum},197868009 | False bladder diverticulum (disorder),Historic,Negated,No laterality
"{p alpha, alpha-trehalase deficiency} a few years ago","84193000 | alpha, alpha-Trehalase deficiency (disorder)",Historic,Confirmed,No laterality
no past hx {p true compulsive fetishism},18186001 | True compulsive fetishism (disorder),Historic,Negated,No laterality
3 prev {p acute skin sarcoidosis},238674006 | Acute skin sarcoidosis (disorder),Historic,Confirmed,No laterality
3 prev {p neurogenic shock},129577007 | Neurogenic shock (disorder),Historic,Confirmed,No laterality
no previous history {p infestation caused by sarcophaga},74503008 | Infestation caused by Sarcophaga (disorder),Historic,Negated,No laterality
{p anaphylaxis caused by seed} recovered,441492003 | Anaphylaxis caused by seed (disorder),Historic,Confirmed,No laterality
personal history {p bilateral recurrent femoral hernia},742277008 | Bilateral recurrent femoral hernia (disorder),Historic,Confirmed,Bilateral
2 previous {p acute herpes simplex pharyngitis},232399005 | Acute herpes simplex pharyngitis (disorder),Historic,Confirmed,No laterality
no pmh {p contusion of omentum},262887001 | Contusion of omentum (disorder),Historic,Negated,No laterality
{p primary genetic mixed hyperlipidemia} a few years previously,402787000 | Primary genetic mixed hyperlipidemia (disorder),Historic,Confirmed,No laterality
{p poisoning caused by diazoxide} while 67 years old,32518004 | Poisoning caused by diazoxide (disorder),Historic,Confirmed,No laterality
{p gonococcal bartholinitis} from aged 37,402957000 | Gonococcal bartholinitis (disorder),Historic,Confirmed,No laterality
several {p acute panniculitis},703966004 | Acute panniculitis (disorder),Historic,Confirmed,No laterality
4 prev {p bee sting-induced anaphylaxis},241931004 | Bee sting-induced anaphylaxis (disorder),Historic,Confirmed,No laterality
no pmh {p acute cecitis},25552000 | Acute cecitis (disorder),Historic,Negated,No laterality
{p left hemiparesis} in the past,278287000 | Left hemiparesis (disorder),Historic,Confirmed,No laterality
not had {p family equisetaceae poisoning},123907006 | Family equisetaceae poisoning (disorder),Historic,Negated,No laterality
no previous hist of {p sleep related hypoxemia},288581000119102 | Sleep related hypoxemia (disorder),Historic,Negated,No laterality
personal history {p congenital pelvic obliquity},423368008 | Congenital pelvic obliquity (disorder),Historic,Confirmed,No laterality
2 prev {p acute lymphangitis of back},128278008 | Acute lymphangitis of back (disorder),Historic,Confirmed,No laterality
never had {p severe asthma},370221004 | Severe asthma (disorder),Historic,Negated,No laterality
{p cellulitis of right ankle} in the past,10633071000119103 | Cellulitis of right ankle (disorder),Historic,Confirmed,Right
no prev hist {p fetal left heart dominance},472701005 | Fetal left heart dominance (disorder),Historic,Negated,No laterality
{p open wound of thumb} few yr prev,125654006 | Open wound of thumb (disorder),Historic,Confirmed,No laterality
1 prev {p acute laryngopharyngitis},55355000 | Acute laryngopharyngitis (disorder),Historic,Confirmed,No laterality
prev {p acute sensory ataxic neuropathy},766049000 | Acute sensory ataxic neuropathy (disorder),Historic,Confirmed,No laterality
no pers hx of {p functional fecal incontinence},722881006 | Functional fecal incontinence (disorder),Historic,Negated,No laterality
not had {p ring-like corneal dystrophy},75663006 | Ring-like corneal dystrophy (disorder),Historic,Negated,No laterality
previous hist of {p euthyroid hypothyroxinemia},237550001 | Euthyroid hypothyroxinemia (disorder),Historic,Confirmed,No laterality
{p acute bronchitis with bronchospasm} recovered,80257001 | Acute bronchitis with bronchospasm (disorder),Historic,Confirmed,No laterality
{p immunoglobulin g3 deficiency} while 45 years old,234548000 | Immunoglobulin G3 deficiency (disorder),Historic,Confirmed,No laterality
{p neoplasm of rib} upto 69 y o,126558006 | Neoplasm of rib (disorder),Historic,Confirmed,No laterality
{p acute intoxication} recovered,1149334009 | Acute intoxication (disorder),Historic,Confirmed,No laterality
{p corneal epithelial degeneration} when age 27,231929005 | Corneal epithelial degeneration (disorder),Historic,Confirmed,No laterality
no prev hist of {p bilateral multicystic renal dysplasia},717749002 | Bilateral multicystic renal dysplasia (disorder),Historic,Negated,Bilateral
previously {p acute angle closure},1111451000000106 | Acute angle closure (disorder),Historic,Confirmed,No laterality
no hx {p tracheobronchial hemorrhage},276543004 | Tracheobronchial hemorrhage (disorder),Historic,Negated,No laterality
3 previous {p acute cutaneous lupus erythematosus},838359008 | Acute cutaneous lupus erythematosus (disorder),Historic,Confirmed,No laterality
not had {p autoimmune encephalitis},95643007 | Autoimmune encephalitis (disorder),Historic,Negated,No laterality
{p batai fever} last 10 month,62674007 | Batai fever (disorder),Historic,Confirmed,No laterality
previous hx {p aplasia cutis congenita},35484002 | Aplasia cutis congenita (disorder),Historic,Confirmed,No laterality
past history {p premature aging syndrome},399959003 | Premature aging syndrome (disorder),Historic,Confirmed,No laterality
2 prev {p acute infective cystitis},307426000 | Acute infective cystitis (disorder),Historic,Confirmed,No laterality
{p polydactyly} upto 53 yr of age,367506006 | Polydactyly (disorder),Historic,Confirmed,No laterality
{p acute aspiration pneumonia} recovered,35031000119100 | Acute aspiration pneumonia (disorder),Historic,Confirmed,No laterality
no history of {p drug-induced psychosis},191483003 | Drug-induced psychosis (disorder),Historic,Negated,No laterality
2 prev {p acute vesicular dermatitis},74207008 | Acute vesicular dermatitis (disorder),Historic,Confirmed,No laterality
"{p closed fracture calcaneus, extra-articular} until age 6","208677000 | Closed fracture calcaneus, extra-articular (disorder)",Historic,Confirmed,No laterality
{p derealization syndrome} in the past,280945000 | Derealization syndrome (disorder),Historic,Confirmed,No laterality
{p non-allergic drug hypersensitivity disorder} when aged 25,427640001 | Non-allergic drug hypersensitivity disorder (disorder),Historic,Confirmed,No laterality
{p transection of stomach} from age 38,262842000 | Transection of stomach (disorder),Historic,Confirmed,No laterality
no personal history of {p family pinaceae poisoning},123934009 | Family pinaceae poisoning (disorder),Historic,Negated,No laterality
{p transitory deafness} previously,878795009 | Transitory deafness (disorder),Historic,Confirmed,No laterality
never had {p neoplasm of endocrine gland},387922007 | Neoplasm of endocrine gland (disorder),Historic,Negated,No laterality
no previous hist {p thrombosis of blood vessel},439129009 | Thrombosis of blood vessel (disorder),Historic,Negated,No laterality
{p internal gastrointestinal fistula} at age 8,32161008 | Internal gastrointestinal fistula (disorder),Historic,Confirmed,No laterality
1 prev {p acute osteomyelitis of scapula},203163004 | Acute osteomyelitis of scapula (disorder),Historic,Confirmed,No laterality
no past hx {p episodic mood disorder},94921000119107 | Episodic mood disorder (disorder),Historic,Negated,No laterality
{p arsenical keratosis} last 3 months,403741004 | Arsenical keratosis (disorder),Historic,Confirmed,No laterality
{p acute ischemic colitis} recovered,75700000 | Acute ischemic colitis (disorder),Historic,Confirmed,No laterality
previously {p acute perforated appendicitis},286967008 | Acute perforated appendicitis (disorder),Historic,Confirmed,No laterality
{p infection caused by acanthocephalus} previously,63962004 | Infection caused by Acanthocephalus (disorder),Historic,Confirmed,No laterality
4 prev {p acute primary angle closure},1111471000000102 | Acute primary angle closure (disorder),Historic,Confirmed,No laterality
{p rubinstein-taybi syndrome} from age 5,45582004 | Rubinstein-Taybi syndrome (disorder),Historic,Confirmed,No laterality
no past history {p accidental paclitaxel poisoning},290736009 | Accidental paclitaxel poisoning (disorder),Historic,Negated,No laterality
{p pulmonary lipid storage disease} while 2 yrs o,233720006 | Pulmonary lipid storage disease (disorder),Historic,Confirmed,No laterality
no past history of {p sociolinguistic disorder},310827006 | Sociolinguistic disorder (disorder),Historic,Negated,No laterality
past hx {p platybasia},86587003 | Platybasia (disorder),Historic,Confirmed,No laterality
4 prev {p pott's puffy tumor},232389000 | Pott's puffy tumor (disorder),Historic,Confirmed,No laterality
{p late syphilis} prev,72083004 | Late syphilis (disorder),Historic,Confirmed,No laterality
no pmh of {p injury of left hand},11791321000119108 | Injury of left hand (disorder),Historic,Negated,Left
{p acute idiopathic pericarditis} recovered,266235007 | Acute idiopathic pericarditis (disorder),Historic,Confirmed,No laterality
{p acute lymphadenitis of trunk} in the past,200697006 | Acute lymphadenitis of trunk (disorder),Historic,Confirmed,No laterality
no personal history of {p non-alcoholic fatty liver},197315008 | Non-alcoholic fatty liver (disorder),Historic,Negated,No laterality
recurrent {p tendinitis of finger},423226005 | Tendinitis of finger (disorder),Historic,Confirmed,No laterality
{p disorder of ankle joint} a few years prev,428776005 | Disorder of ankle joint (disorder),Historic,Confirmed,No laterality
never had {p manganese-induced parkinsonism},230294009 | Manganese-induced parkinsonism (disorder),Historic,Negated,No laterality
had {p acute uterine inflammatory disease},198180000 | Acute uterine inflammatory disease (disorder),Historic,Confirmed,No laterality
frequent {p acute radiation disease},360002 | Acute radiation disease (disorder),Historic,Confirmed,No laterality
{p ulcer of cervix} while 42 yrs o,198338008 | Ulcer of cervix (disorder),Historic,Confirmed,No laterality
"{p open injury, palmar artery} upto 6 yr of age","210845007 | Open injury, palmar artery (disorder)",Historic,Confirmed,No laterality
no past hist of {p recombinant chromosome 8 syndrome},718189004 | Recombinant chromosome 8 syndrome (disorder),Historic,Negated,No laterality
{p fibrinogen abnormality} few yrs back,234455001 | Fibrinogen abnormality (disorder),Historic,Confirmed,No laterality
{p myelitis caused by enterovirus} last 7 month,866055006 | Myelitis caused by Enterovirus (disorder),Historic,Confirmed,No laterality
freq {p genetic transient congenital hypothyroidism},770631009 | Genetic transient congenital hypothyroidism (disorder),Historic,Confirmed,No laterality
{p adnexal carcinoma of vulva} prev,1144945000 | Adnexal carcinoma of vulva (disorder),Historic,Confirmed,No laterality
{p subacute osteomyelitis} when 17 years old,67322009 | Subacute osteomyelitis (disorder),Historic,Confirmed,No laterality
3 prev {p acute transudative otitis media},35183001 | Acute transudative otitis media (disorder),Historic,Confirmed,No laterality
no pers hx {p sarcotubular myopathy},43226001 | Sarcotubular myopathy (disorder),Historic,Negated,No laterality
no pmh {p anetoderma},238828009 | Anetoderma (disorder),Historic,Negated,No laterality
no ph of {p congenital uterine anomaly},37849005 | Congenital uterine anomaly (disorder),Historic,Negated,No laterality
no previous hx of {p heterozygous thalassemia},19442009 | Heterozygous thalassemia (disorder),Historic,Negated,No laterality
never had {p malignant neoplasm of trunk},1090311000000101 | Malignant neoplasm of trunk (disorder),Historic,Negated,No laterality
{p exudative otitis media} when 26 yrs old,32760002 | Exudative otitis media (disorder),Historic,Confirmed,No laterality
{p isoetharine hydrochloride adverse reaction} in the past,292480002 | Isoetharine hydrochloride adverse reaction (disorder),Historic,Confirmed,No laterality
{p acute adenoviral follicular conjunctivitis} recovered,3163006 | Acute adenoviral follicular conjunctivitis (disorder),Historic,Confirmed,No laterality
prev {p transient mucociliary clearance defect},233670004 | Transient mucociliary clearance defect (disorder),Historic,Confirmed,No laterality
previously {p hedblom's syndrome},32643003 | Hedblom's syndrome (disorder),Historic,Confirmed,No laterality
{p acute intestinal obstruction} recovered,197078006 | Acute intestinal obstruction (disorder),Historic,Confirmed,No laterality
no past hist of {p deficiency of pyridoxamine-phosphate oxidase},124174008 | Deficiency of pyridoxamine-phosphate oxidase (disorder),Historic,Negated,No laterality
{p laceration of omentum} upto 53 yr old,262888006 | Laceration of omentum (disorder),Historic,Confirmed,No laterality
{p infection caused by davainea} when aged 60,24387006 | Infection caused by Davainea (disorder),Historic,Confirmed,No laterality
prev {p acute idiopathic pericarditis},266235007 | Acute idiopathic pericarditis (disorder),Historic,Confirmed,No laterality
several {p acute pyelitis},32801008 | Acute pyelitis (disorder),Historic,Confirmed,No laterality
{p dimorphic anemia} last 12 mths,14379009 | Dimorphic anemia (disorder),Historic,Confirmed,No laterality
{p acquired testicular failure} last 2 mths,236811002 | Acquired testicular failure (disorder),Historic,Confirmed,No laterality
no pmh of {p acquired spondylolisthesis},203681002 | Acquired spondylolisthesis (disorder),Historic,Negated,No laterality
{p anaplastic astrocytoma of brain} few yr ago,277461004 | Anaplastic astrocytoma of brain (disorder),Historic,Confirmed,No laterality
{p foreign accent syndrome} some time back,955111000000109 | Foreign accent syndrome (disorder),Historic,Confirmed,No laterality
{p drug-induced myelopathy} a few years back,11862006 | Drug-induced myelopathy (disorder),Historic,Confirmed,No laterality
{p paternal 20q13.2q13.3 microdeletion syndrome} last 5 mths,724070005 | Paternal 20q13.2q13.3 microdeletion syndrome (disorder),Historic,Confirmed,No laterality
{p injury of splenic artery} a few years prev,66829004 | Injury of splenic artery (disorder),Historic,Confirmed,No laterality
{p open division pelvic ligament} at aged 51,209715001 | Open division pelvic ligament (disorder),Historic,Confirmed,No laterality
no pmh of {p sural neuropathy in calf},609605005 | Sural neuropathy in calf (disorder),Historic,Negated,No laterality
{p fishing hook in calf} last 2 mths,283221005 | Fishing hook in calf (disorder),Historic,Confirmed,No laterality
no prev history of {p retinal tear},95690009 | Retinal tear (disorder),Historic,Negated,No laterality
previous hx of {p malignant adenomatous neoplasm},443961001 | Malignant adenomatous neoplasm (disorder),Historic,Confirmed,No laterality
{p folliculitis decalvans} prev,53593008 | Folliculitis decalvans (disorder),Historic,Confirmed,No laterality
not had {p deficiency of vitamin d2},386070008 | Deficiency of vitamin D2 (disorder),Historic,Negated,No laterality
previous {p acute haemophilus influenzae bronchitis},195721005 | Acute haemophilus influenzae bronchitis (disorder),Historic,Confirmed,No laterality
{p traumatic bronchopleural fistula} while 35 y old,405586000 | Traumatic bronchopleural fistula (disorder),Historic,Confirmed,No laterality
{p acute-on-chronic retention of urine} recovered,236649000 | Acute-on-chronic retention of urine (disorder),Historic,Confirmed,No laterality
{p critical ischemia of foot} at 34 years o,312822006 | Critical ischemia of foot (disorder),Historic,Confirmed,No laterality
{p cerebral vasoconstriction syndrome} few years back,703218000 | Cerebral vasoconstriction syndrome (disorder),Historic,Confirmed,No laterality
{p clot retention of urine} in the past,236651001 | Clot retention of urine (disorder),Historic,Confirmed,No laterality
previous hist of {p pseudoaminopterin syndrome},715867000 | Pseudoaminopterin syndrome (disorder),Historic,Confirmed,No laterality
pers hist {p animal sting},299970006 | Animal sting (disorder),Historic,Confirmed,No laterality
{p familial acute pancreatitis} recovered,235949005 | Familial acute pancreatitis (disorder),Historic,Confirmed,No laterality
{p hypertrophic meckel's diverticulum} few yrs back,204688002 | Hypertrophic Meckel's diverticulum (disorder),Historic,Confirmed,No laterality
{p ganglion of wrist} prev,202942009 | Ganglion of wrist (disorder),Historic,Confirmed,No laterality
{p sporadic inclusion body myositis} few yrs ago,1144926009 | Sporadic inclusion body myositis (disorder),Historic,Confirmed,No laterality
personal hx of {p asplenia following surgical procedure},724639003 | Asplenia following surgical procedure (disorder),Historic,Confirmed,No laterality
{p chronic idiopathic monocytosis} when aged 8,22310002 | Chronic idiopathic monocytosis (disorder),Historic,Confirmed,No laterality
no previous hist of {p azapropazone poisoning},290230004 | Azapropazone poisoning (disorder),Historic,Negated,No laterality
{p urethral syndrome} while 3 yr o,31273004 | Urethral syndrome (disorder),Historic,Confirmed,No laterality
{p nitrogen mustard derivative overdose} when 31 y old,295615001 | Nitrogen mustard derivative overdose (disorder),Historic,Confirmed,No laterality
no prev hx of {p crohn's stricture of colon},413276006 | Crohn's stricture of colon (disorder),Historic,Negated,No laterality
{p accidental desipramine overdose} last 1 mth,295853008 | Accidental desipramine overdose (disorder),Historic,Confirmed,No laterality
no pers hx of {p fenticonazole adverse reaction},292816006 | Fenticonazole adverse reaction (disorder),Historic,Negated,No laterality
{p monoarticular acute primary gout} recovered,1153375000 | Monoarticular acute primary gout (disorder),Historic,Confirmed,No laterality
{p antiallergenic drug adverse reaction} last 7 mths,292565005 | Antiallergenic drug adverse reaction (disorder),Historic,Confirmed,No laterality
recurrent {p acute viral otitis externa},232222008 | Acute viral otitis externa (disorder),Historic,Confirmed,No laterality
{p bone cyst of femur} last 6 month,767848001 | Bone cyst of femur (disorder),Historic,Confirmed,No laterality
previously {p acute on chronic cystitis},707834009 | Acute on chronic cystitis (disorder),Historic,Confirmed,No laterality
{p intentional nitrofuran derivative poisoning} when 26 yrs o,291527000 | Intentional nitrofuran derivative poisoning (disorder),Historic,Confirmed,No laterality
{p leber's amaurosis} last 10 month,193413001 | Leber's amaurosis (disorder),Historic,Confirmed,No laterality
{p benzathine penicillin adverse reaction} when age 10,292957003 | Benzathine penicillin adverse reaction (disorder),Historic,Confirmed,No laterality
{p nailbed deformity} previously,19051000119100 | Nailbed deformity (disorder),Historic,Confirmed,No laterality
{p accidental iprindole poisoning} while 23 years old,290838002 | Accidental iprindole poisoning (disorder),Historic,Confirmed,No laterality
{p complete trisomy 13 syndrome} last 12 mths,21111006 | Complete trisomy 13 syndrome (disorder),Historic,Confirmed,No laterality
1 previous {p acute culture positive cystitis},236702008 | Acute culture positive cystitis (disorder),Historic,Confirmed,No laterality
prev hist {p persistent dorsal mesentery},123662000 | Persistent dorsal mesentery (disorder),Historic,Confirmed,No laterality
2 prev {p acute epiglottitis with obstruction},222008 | Acute epiglottitis with obstruction (disorder),Historic,Confirmed,No laterality
{p amaranthus retroflexus poisoning} few yrs prev,83681002 | Amaranthus retroflexus poisoning (disorder),Historic,Confirmed,No laterality
{p ankylosing spondylitis} few yrs previously,9631008 | Ankylosing spondylitis (disorder),Historic,Confirmed,No laterality
